,date,open,high,low,close,volume,oi
0,2021-05-10 09:15:00+05:30,442.9,442.9,383.1,419.15,7775,23925
1,2021-05-10 09:20:00+05:30,425.55,425.6,389.95,395.5,7225,26000
2,2021-05-10 09:25:00+05:30,395.0,401.95,390.0,392.45,3075,27700
3,2021-05-10 09:30:00+05:30,392.45,430.9,390.2,424.65,5950,27925
4,2021-05-10 09:35:00+05:30,427.95,437.35,404.5,409.65,5325,28775
5,2021-05-10 09:40:00+05:30,409.65,417.65,408.9,412.75,3800,30175
6,2021-05-10 09:45:00+05:30,412.75,415.3,397.3,409.05,2125,30525
7,2021-05-10 09:50:00+05:30,409.05,428.9,405.15,428.05,3750,31175
8,2021-05-10 09:55:00+05:30,428.05,432.95,421.75,429.4,3175,32600
9,2021-05-10 10:00:00+05:30,429.4,430.2,413.05,417.7,1425,32200
10,2021-05-10 10:05:00+05:30,417.7,421.8,403.35,403.35,2050,32500
11,2021-05-10 10:10:00+05:30,403.35,406.7,382.0,383.5,3050,32375
12,2021-05-10 10:15:00+05:30,384.15,385.3,341.5,345.7,6975,33000
13,2021-05-10 10:20:00+05:30,345.7,356.75,345.05,356.55,3975,35150
14,2021-05-10 10:25:00+05:30,355.3,358.7,345.0,353.3,1775,35900
15,2021-05-10 10:30:00+05:30,353.3,359.0,334.75,339.8,3950,35875
16,2021-05-10 10:35:00+05:30,339.8,346.25,335.95,340.4,2600,37150
17,2021-05-10 10:40:00+05:30,340.4,352.35,339.15,351.45,3875,39025
18,2021-05-10 10:45:00+05:30,351.45,354.0,343.75,348.75,2525,38550
19,2021-05-10 10:50:00+05:30,348.75,351.0,340.45,350.35,1800,38750
20,2021-05-10 10:55:00+05:30,350.35,363.65,348.55,360.5,2200,39200
21,2021-05-10 11:00:00+05:30,360.5,368.25,356.85,359.6,1175,38975
22,2021-05-10 11:05:00+05:30,359.6,359.6,345.05,347.95,850,39525
23,2021-05-10 11:10:00+05:30,347.95,352.8,340.2,351.95,1375,39800
24,2021-05-10 11:15:00+05:30,351.95,357.4,349.85,349.85,1775,40025
25,2021-05-10 11:20:00+05:30,349.85,359.65,339.0,346.55,7550,40175
26,2021-05-10 11:25:00+05:30,346.55,356.0,346.55,354.35,1000,40875
27,2021-05-10 11:30:00+05:30,354.35,358.9,347.0,351.15,1375,40575
28,2021-05-10 11:35:00+05:30,351.15,356.3,348.65,348.65,1325,40625
29,2021-05-10 11:40:00+05:30,348.65,355.0,348.2,351.4,1325,40650
30,2021-05-10 11:45:00+05:30,351.4,377.25,351.4,362.4,2925,40300
31,2021-05-10 11:50:00+05:30,364.2,366.2,351.85,354.2,1400,40375
32,2021-05-10 11:55:00+05:30,354.2,362.7,354.2,359.85,1125,40425
33,2021-05-10 12:00:00+05:30,359.85,361.9,346.5,351.6,1175,40675
34,2021-05-10 12:05:00+05:30,351.6,358.2,350.25,357.05,1225,40650
35,2021-05-10 12:10:00+05:30,357.05,370.0,354.85,359.05,2450,41000
36,2021-05-10 12:15:00+05:30,359.05,365.15,354.55,364.15,825,40750
37,2021-05-10 12:20:00+05:30,364.15,370.2,360.55,360.55,1200,40925
38,2021-05-10 12:25:00+05:30,360.55,365.05,346.4,350.0,1950,40300
39,2021-05-10 12:30:00+05:30,350.0,357.0,347.4,354.35,1025,40675
40,2021-05-10 12:35:00+05:30,354.35,355.6,330.55,335.0,2125,40725
41,2021-05-10 12:40:00+05:30,335.0,340.05,334.75,336.15,1375,40825
42,2021-05-10 12:45:00+05:30,336.15,351.7,336.15,346.5,1650,41475
43,2021-05-10 12:50:00+05:30,346.5,346.7,343.35,344.65,600,41525
44,2021-05-10 12:55:00+05:30,344.65,350.75,344.05,345.3,825,41700
45,2021-05-10 13:00:00+05:30,345.3,346.3,337.7,339.05,4175,43050
46,2021-05-10 13:05:00+05:30,339.05,342.5,328.0,334.05,5625,44900
47,2021-05-10 13:10:00+05:30,334.05,373.15,334.05,365.0,6400,44575
48,2021-05-10 13:15:00+05:30,365.0,380.5,363.45,372.05,3675,43925
49,2021-05-10 13:20:00+05:30,372.05,372.05,363.05,364.6,1700,43150
50,2021-05-10 13:25:00+05:30,364.6,364.6,353.15,358.35,900,43225
51,2021-05-10 13:30:00+05:30,358.35,361.1,348.6,352.85,2200,43700
52,2021-05-10 13:35:00+05:30,352.85,361.4,347.6,360.95,625,43850
53,2021-05-10 13:40:00+05:30,360.95,362.85,347.0,347.5,2275,43425
54,2021-05-10 13:45:00+05:30,347.5,355.25,341.35,349.95,2025,44125
55,2021-05-10 13:50:00+05:30,349.95,353.0,349.7,349.85,675,44450
56,2021-05-10 13:55:00+05:30,349.85,353.55,337.7,342.55,1800,44525
57,2021-05-10 14:00:00+05:30,339.35,346.7,339.35,343.3,1150,44825
58,2021-05-10 14:05:00+05:30,343.3,345.7,339.0,345.4,1075,45050
59,2021-05-10 14:10:00+05:30,345.4,350.9,342.75,347.65,950,44950
60,2021-05-10 14:15:00+05:30,351.0,351.8,325.5,332.0,6075,45700
61,2021-05-10 14:20:00+05:30,332.0,338.35,332.0,338.35,250,45975
62,2021-05-10 14:25:00+05:30,338.35,366.55,338.35,355.55,3525,45275
63,2021-05-10 14:30:00+05:30,355.55,356.65,346.15,355.4,4500,44600
