user,rasa,blenderbot_400M_distill,DialoGPT_medium,QA_answers,rasa_updown_score,blenderbot_400M_distill_updown_score,DialoGPT_medium_updown_score,rasa_human_vs_machine_score,blenderbot_400M_distill_human_vs_machine_score,DialoGPT_medium_human_vs_machine_score
Why do I get sleepy after a workout?,"The pros of partial reps include the fact that you can carry on with an exercise when you can no longer do full ROM with good form, and you still want to push it a bit further to exert a smaller subset of the muscle group more.","I don't know, but it could be because you are working out and your body is tired",,Your body is tired,,,,,,
good morning,Hi! I am your fitness companion. How can I help you ?,Good morning! How are you? I just got back from a long day of work.,Good morning!,Good morning,0.401,0.265,0.166,0.551,0.305,0.016
Gaining weight without gaining fat,80% of exercise is diet. Eat your fruit and veggies and make sure you get good lean protein.," I've been trying to lose weight, but I'm not sure if I'm doing it right.","I'm not sure if you're serious or not, but I'm pretty sure that's not what he's saying.",Eat your fruit and veggies and make sure you get good lean protein,0.448,0.516,0.438,0.643,0.018,0
I want to gain weight,Here's a 3000 calorie diet plan I would suggest for you (https://www.healthline.com/nutrition/3000-calorie-meal-plan#bottom-line).,Why do you want to lose weight? Is it for health reasons or for aesthetics?,I want to gain weight,for health reasons,0.503,0.344,0.366,0.762,0.496,0.004
Diet plan for weight loss.,Here's a 7-day diet plan to lose weight for you (https://www.shape.com/weight-loss/tips-plans/7-day-diet-plan-weight-loss).," Dieting is a great way to lose weight, especially if you want to lose a lot of weight.","I'm not sure if you're serious or not, but I'm going to go with yes.",Here's a 7-day diet,0.614,0.453,0.349,0.78,0.11,0
when should my muscles recover?,"Even though after workout muscle recovery actually depends on what exercises you do, it usually takes 24-48 hours for your muscles to recover."," I'm not sure, but it depends on how long it takes for them to heal.",When you stop lifting.,24-48 hours,0.365,0.231,0.289,0.7,0.015,0.162
How does stopping working out affect your muscles?,"After a few weeks of inactivity, your muscles will eventually become loose and weak.",I don't think it affects my muscles. I just don't want to get fat.,It's a good way to get your muscles used to working out.,It's a good way,0.435,0.368,0.347,0.74,0.48,0.029
What should obese people do?,"Cut down wheat, rice, potatoes, and sugar to as little as possible and fill up with fruits, vegetables, and pulses. Increase physical activity by doing exercises."," I'm not sure, but I do know that obesity is a serious health issue.",Eat less.,Eat less,0.419,0.357,0.267,0.814,0.021,0.404
How to reduce body fat?,"To make your body burn body fat, you must lower the insulin level in your blood, you do that by cutting on the carbs and eliminating your sugar intake.
By doing a short/intense workout and avoiding sugars you will get your body to burn the body fat."," I'm not sure, but I do know that the body has to burn fat for energy.",Eat less.,By doing a short/intense workout and avoiding sugars,0.531,0.35,0.295,0.911,0.033,0.349
what exercises can increase chest size?,"There are 3 or 4 ways to expand your chest visually in order: Dumbbell Bench Press, Dips, Barbell Rows, and Flies and/or Pec Deck if you have one.
With any of these exercises, chest width is going to be when you can feel it in the outer portion of your chest a bit and lats."," I'm not sure, but I do know that it increases the strength of the muscles.","I'm not sure, but I think it's the same as the other chest exercises.",chest exercises,0.368,0.228,0.216,0.994,0.003,0.002
How can I lower my stress level?,"It's ok to feel overwhelmed at times. Try to set realistic expectations and exercise time management techniques, like dividing large tasks into more manageable pieces. Relaxation techniques, like deep breathing and meditation, can also be beneficial.",Have you tried meditating? It's a great way to relieve stress and anxiety.,"I'm not sure, but I think you can try meditation.",meditation,0.455,0.463,0.333,0.995,0.706,0.05
How do I eat healthily?,"A healthy diet includes fruits and vegetables, whole grains, dairy, lean protein, and plant-based fats. While there is room in a healthy diet for treats, added sugar should be eaten sparingly. Aim for a variety of foods, and balance.",I try to eat as healthy as I can. I eat a lot of fruits and vegetables.,Eat less.,Eat less,0.575,0.289,0.298,0.994,0.082,0.252
How much exercise is recommended?,Most healthy adults should aim to get about 150 min of moderate exercise per week. This includes activities like a brisk walk or yard work.,It depends on how much you want to do it. I would say 2-3 times a week.,"I'm not sure, I'm not a fitness expert. I'd say at least 30 minutes a day.",150 min,0.44,0.239,0.246,0.855,0.374,0.093
How to reduce belly fat?,"There is no 'best exercise to lose belly fat. For many people, cutting out most of the sugar in their diet (obviously not sugar from fruit and other healthy sources) is an excellent way to lose weight."," I'm not sure, but I do know that diet and exercise have a huge impact on weight loss.",Eat less.,cutting out most of the sugar in their diet,0.484,0.352,0.257,0.949,0.037,0.341
how can I increase my height?,"If you're just playing amateur-level sports, and make it your goal to have a massive vertical jump, you'll more than makeup for your lack of height."," Height is determined by genetic and environmental factors, so you can't do anything about it.",You can't.,genetic and environmental factors,0.398,0.439,0.321,0.838,0.672,0.13
right age for children to work out with weights,"Taking Eric and Dave's answers into consideration, we must understand that children's bodies are still developing. I believe a structured lifting program for children can be a fantastic introduction to the controlled multiplanar movement."," Yes, I think it's important for them to be able to develop their muscles at a young age.","I'm not sure if you're serious, but I'm pretty sure that's not true.",young age,0.532,0.419,0.409,0.952,0.608,0
is it true that you can eat anything you like within 15 minutes of a workout?,"Your body will process the food that you ingest, and if the caloric intake of the food is greater than the number of calories burned during the ensuing exercise, you will gain weight."," I don't know about that, but I do know that I can eat whatever I want.",I've never had a problem.,I do know that I can eat whatever I want,0.478,0.421,0.282,0.931,0.168,0.094
does exercise actually raise the basal metabolic rate during exercise?,"In this study: (http://www.mendeley.com/research/postexercise-energy-expenditure-response-acute-aerobic-resistive-exercise/) they used 90 minutes, high-intensity strength workouts, and still after 15 hours, the metabolic rate was elevated.",Exercise increases the metabolism of the body and increases the amount of energy stored in the body.,"Yes, but it's not the same as the rate of fat burning.","after 15 hours, the metabolic rate was elevated",0.65,0.463,0.449,0.999,0.057,0.642
