,Name,Time,LTQ,callSP,putSP
0,AMARAJABAT,2021-10-27 02:04:08.781761,1000,700.0,780.0
1,APOLLOTYRE,2021-10-27 02:04:16.301479,2500,700.0,210.0
2,ASHOKLEY,2021-10-27 02:04:24.151394,4500,142.5,210.0
3,BALKRISIND,2021-10-27 02:04:34.735089,400,2500.0,790.0
4,BHARATFORG,2021-10-27 02:04:43.783795,1500,780.0,790.0
5,BOSCHLTD,2021-10-27 02:04:51.804569,50,17500.0,15000.0
6,CUMMINSIND,2021-10-27 02:05:00.425200,600,860.0,840.0
7,ESCORTS,2021-10-27 02:05:11.043847,550,1540.0,1000.0
8,EXIDEIND,2021-10-27 02:05:18.666478,3600,170.0,200.0
9,HEROMOTOCO,2021-10-27 02:05:27.212501,300,2700.0,2880.0
10,M&M,2021-10-27 02:05:37.206529,700,890.0,940.0
11,MARUTI,2021-10-27 02:05:44.946489,100,7250.0,7650.0
12,MOTHERSUMI,2021-10-27 02:05:53.809098,3500,220.0,235.0
13,TATAMOTORS,2021-10-27 02:06:05.265488,2850,505.0,750.0
14,TVSMOTOR,2021-10-27 02:06:14.244793,1400,630.0,750.0
