,Name,Time,LTQ,callSP,putSP
0,AUBANK,2021-10-27 01:45:33.195752,500,1240.0,1020.0
1,BAJAJFINSV,2021-10-27 01:45:43.945896,75,18400.0,17750.0
2,BAJFINANCE,2021-10-27 01:45:55.559166,125,7800.0,14000.0
3,BANDHANBNK,2021-10-27 01:46:03.273234,1800,1000.0,305.0
4,CANFINHOME,2021-10-27 01:46:18.257314,975,630.0,680.0
5,CHOLAFIN,2021-10-27 01:46:25.179532,1250,600.0,680.0
6,CUB,2021-10-27 01:46:32.017515,3100,177.5,137.5
7,HDFCAMC,2021-10-27 01:46:47.465410,200,1240.0,2850.0
8,IBULHSGFIN,2021-10-27 01:47:03.163327,3100,230.0,240.0
9,ICICIBANK,2021-10-27 01:47:10.486533,1375,1000.0,840.0
10,ICICIGI,2021-10-27 01:47:18.077401,425,1500.0,1020.0
11,IDFCFIRSTB,2021-10-27 01:47:29.094750,9500,52.0,130.0
12,INDUSINDBK,2021-10-27 01:47:36.321284,900,1160.0,1160.0
13,KOTAKBANK,2021-10-27 01:47:44.948972,400,2180.0,1820.0
14,L&TFH,2021-10-27 01:47:53.459724,8924,85.0,88.0
15,M&MFIN,2021-10-27 01:48:05.924606,4000,190.0,137.5
16,MANAPPURAM,2021-10-27 01:48:13.163468,6000,205.0,240.0
17,MUTHOOTFIN,2021-10-27 01:48:24.098195,750,1520.0,1580.0
18,PNB,2021-10-27 01:48:43.768692,16000,46.0,41.0
19,RBLBANK,2021-10-27 01:48:50.746500,2900,210.0,240.0
20,SBILIFE,2021-10-27 01:49:02.852713,750,1170.0,1180.0
21,SRTRANSFIN,2021-10-27 01:49:14.872229,400,1520.0,1580.0
