,Name,Time,LTQ,callSP,putSP
0,APLLTD,2021-10-27 01:59:01.204383,550,,750.0
1,ASTRAL,2021-10-27 01:59:13.087251,275,,2150.0
2,AUROPHARMA,2021-10-27 01:59:21.410340,650,700.0,700.0
3,BIOCON,2021-10-27 01:59:29.799771,2300,330.0,700.0
4,CADILAHC,2021-10-27 01:59:37.901176,2200,500.0,590.0
5,CIPLA,2021-10-27 01:59:45.397674,650,900.0,960.0
6,DIVISLAB,2021-10-27 01:59:53.218131,200,5000.0,2400.0
7,GLENMARK,2021-10-27 02:00:04.990520,1150,510.0,560.0
8,GRANULES,2021-10-27 02:00:12.830313,1550,320.0,400.0
9,LALPATHLAB,2021-10-27 02:00:23.853625,250,3500.0,2400.0
10,LUPIN,2021-10-27 02:00:31.140021,850,920.0,960.0
11,METROPOLIS,2021-10-27 02:00:39.485088,200,2900.0,2400.0
12,SUNPHARMA,2021-10-27 02:00:54.637911,1400,810.0,820.0
13,TRENT,2021-10-27 02:01:06.805080,725,1060.0,1020.0
