,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-26 09:15:00+05:30,153.25,193.25,144.6,174.4,84650,102725,,,0.06,False
1,2021-04-26 09:20:00+05:30,174.55,205.95,174.3,200.65,129600,107950,,,0.06,False
2,2021-04-26 09:25:00+05:30,201.35,226.9,191.65,197.85,168275,126275,,193.25,0.06,True
3,2021-04-26 09:30:00+05:30,199.5,254.35,197.85,244.4,192400,121750,191.65,,0.06,True
4,2021-04-26 09:35:00+05:30,245.15,256.2,227.25,235.7,113800,121775,191.65,,0.06,False
5,2021-04-26 09:40:00+05:30,235.2,242.75,223.1,226.65,75450,131450,197.85,,0.12,False
6,2021-04-26 09:45:00+05:30,226.35,230.6,210.35,219.2,79450,132075,204.852,,0.12,False
7,2021-04-26 09:50:00+05:30,217.0,239.85,211.45,234.6,53325,133500,210.35,,0.12,False
8,2021-04-26 09:55:00+05:30,237.15,270.15,232.05,262.95,97825,129725,210.35,,0.12,False
9,2021-04-26 10:00:00+05:30,262.15,290.0,260.8,275.1,150150,133600,211.45,,0.18,False
10,2021-04-26 10:05:00+05:30,275.1,277.0,249.75,265.75,150250,175975,227.16,,0.2,False
11,2021-04-26 10:10:00+05:30,264.95,269.55,233.1,237.0,96625,194650,,290.0,0.2,True
12,2021-04-26 10:15:00+05:30,239.0,244.45,219.55,223.1,67550,201675,,286.586,0.06,False
13,2021-04-26 10:20:00+05:30,221.9,237.65,218.4,231.45,48625,208275,,278.54168000000004,0.12,False
14,2021-04-26 10:25:00+05:30,231.45,243.35,221.3,238.2,45875,209325,,267.71617760000004,0.18,False
15,2021-04-26 10:30:00+05:30,238.2,246.45,221.45,224.9,57400,207800,,258.83926563200004,0.18,False
16,2021-04-26 10:35:00+05:30,224.65,232.3,208.7,226.9,67500,207425,,251.56019781824003,0.18,False
17,2021-04-26 10:40:00+05:30,227.55,234.85,221.35,231.0,35100,209075,,246.45,0.2,False
18,2021-04-26 10:45:00+05:30,229.95,238.35,213.45,222.0,52625,209975,,238.89999999999998,0.2,False
19,2021-04-26 10:50:00+05:30,222.0,228.7,213.4,218.3,30825,213075,,238.35,0.2,False
20,2021-04-26 10:55:00+05:30,218.3,221.0,206.75,217.35,41275,213250,,238.35,0.2,False
21,2021-04-26 11:00:00+05:30,217.35,272.15,217.05,268.4,126625,212900,206.75,,0.2,True
22,2021-04-26 11:05:00+05:30,270.4,279.9,250.0,256.5,108425,230175,206.75,,0.06,False
23,2021-04-26 11:10:00+05:30,257.75,269.55,252.5,267.0,71725,242575,215.528,,0.12,False
24,2021-04-26 11:15:00+05:30,267.45,270.6,247.0,256.75,67850,255975,223.25263999999999,,0.12,False
25,2021-04-26 11:20:00+05:30,258.35,259.6,229.5,237.8,81850,266225,,279.9,0.12,True
26,2021-04-26 11:25:00+05:30,235.7,245.4,222.95,226.7,59625,261925,,276.876,0.06,False
27,2021-04-26 11:30:00+05:30,227.9,249.6,225.9,244.1,65100,262000,,270.40488,0.12,False
28,2021-04-26 11:35:00+05:30,244.1,250.0,221.85,246.8,72600,280175,,264.7102944,0.12,False
29,2021-04-26 11:40:00+05:30,248.8,255.65,238.55,240.25,46400,280375,,256.99544140800003,0.18,False
30,2021-04-26 11:45:00+05:30,238.75,251.9,231.2,243.25,72375,278450,221.85,,0.18,True
31,2021-04-26 11:50:00+05:30,242.5,243.25,220.7,233.75,72450,284850,,251.9,0.06,True
32,2021-04-26 11:55:00+05:30,233.5,242.0,227.0,234.1,27400,285450,,251.9,0.06,False
33,2021-04-26 12:00:00+05:30,234.6,241.35,225.05,235.45,35625,286850,,250.028,0.06,False
34,2021-04-26 12:05:00+05:30,233.55,244.95,220.85,228.8,47225,287000,,248.26832,0.06,False
35,2021-04-26 12:10:00+05:30,226.7,234.4,226.7,230.5,28750,289625,,246.6142208,0.06,False
36,2021-04-26 12:15:00+05:30,230.5,241.05,197.8,207.75,101500,285275,,245.059367552,0.06,False
37,2021-04-26 12:20:00+05:30,207.35,216.5,194.15,210.0,91925,271425,,241.05,0.12,False
38,2021-04-26 12:25:00+05:30,210.0,217.0,191.9,206.05,65650,275400,,241.05,0.18,False
39,2021-04-26 12:30:00+05:30,205.0,206.05,180.4,184.6,82200,272150,,231.22,0.2,False
40,2021-04-26 12:35:00+05:30,184.6,194.5,181.15,190.0,40400,273400,,221.056,0.2,False
41,2021-04-26 12:40:00+05:30,189.95,196.15,182.0,191.75,50950,274325,,212.9248,0.2,False
42,2021-04-26 12:45:00+05:30,194.0,207.1,191.65,202.75,65050,267625,180.4,,0.2,True
43,2021-04-26 12:50:00+05:30,202.75,209.8,195.55,204.95,35950,265550,182.0,,0.06,False
44,2021-04-26 12:55:00+05:30,205.95,214.7,203.25,214.0,45925,265550,185.336,,0.12,False
45,2021-04-26 13:00:00+05:30,213.35,220.65,200.35,210.65,51700,260675,190.62152,,0.18,False
46,2021-04-26 13:05:00+05:30,210.65,219.85,193.2,194.05,49900,262375,,220.65,0.2,True
47,2021-04-26 13:10:00+05:30,192.9,199.95,188.6,194.95,68050,262550,,220.65,0.06,False
48,2021-04-26 13:15:00+05:30,194.4,198.0,168.1,181.05,137400,241150,,219.85,0.12,False
49,2021-04-26 13:20:00+05:30,179.15,190.8,177.4,181.7,37875,222575,,210.535,0.18,False
50,2021-04-26 13:25:00+05:30,181.7,191.5,181.7,188.35,36225,223850,,202.8967,0.18,False
51,2021-04-26 13:30:00+05:30,188.3,192.65,155.2,166.4,126925,206175,,196.633294,0.18,False
52,2021-04-26 13:35:00+05:30,166.4,173.95,155.1,171.2,53025,196275,,192.65,0.2,False
53,2021-04-26 13:40:00+05:30,172.05,174.95,159.35,163.8,29625,191550,,192.65,0.2,False
54,2021-04-26 13:45:00+05:30,162.5,178.4,157.0,176.3,44925,192500,,185.14000000000001,0.2,False
55,2021-04-26 13:50:00+05:30,176.1,214.0,160.7,203.45,121725,189200,155.1,,0.2,True
56,2021-04-26 13:55:00+05:30,203.7,203.85,188.75,196.0,44600,189350,157.0,,0.06,False
57,2021-04-26 14:00:00+05:30,195.35,211.8,191.25,194.0,72250,191425,160.42,,0.06,False
58,2021-04-26 14:05:00+05:30,194.0,194.0,167.05,169.8,80425,179325,163.63479999999998,,0.06,False
59,2021-04-26 14:10:00+05:30,169.45,176.65,166.65,170.0,36250,178375,,214.0,0.06,True
60,2021-04-26 14:15:00+05:30,171.7,174.0,158.65,165.6,51900,177725,,211.159,0.06,False
61,2021-04-26 14:20:00+05:30,167.0,167.0,153.95,157.4,84800,163875,,204.85792,0.12,False
62,2021-04-26 14:25:00+05:30,156.45,157.4,140.7,149.0,96950,158250,,195.6944944,0.18,False
63,2021-04-26 14:30:00+05:30,150.6,158.3,132.55,134.4,87025,160450,,184.69559551999998,0.2,False
64,2021-04-26 14:35:00+05:30,133.35,139.9,129.8,134.35,80800,159125,,174.266476416,0.2,False
65,2021-04-26 14:40:00+05:30,133.4,148.5,132.95,142.45,79975,164150,,165.3731811328,0.2,False
66,2021-04-26 14:45:00+05:30,142.8,170.35,142.35,165.85,98725,163625,129.8,,0.2,True
67,2021-04-26 14:50:00+05:30,165.85,168.25,154.7,154.7,64550,157500,132.233,,0.06,False
68,2021-04-26 14:55:00+05:30,153.75,154.7,138.7,143.9,68250,156175,134.52002000000002,,0.06,False
69,2021-04-26 15:00:00+05:30,145.75,165.0,144.5,150.8,66750,154850,136.6698188,,0.06,False
70,2021-04-26 15:05:00+05:30,151.45,164.25,150.6,163.3,68950,147550,138.690629672,,0.06,False
71,2021-04-26 15:10:00+05:30,164.0,164.0,146.7,149.1,87200,148700,140.59019189168,,0.06,False
72,2021-04-26 15:15:00+05:30,149.7,157.3,148.55,151.9,49275,141975,142.3757803781792,,0.06,False
73,2021-04-26 15:20:00+05:30,153.0,156.8,146.4,147.45,46725,130700,144.05423355548845,,0.06,False
74,2021-04-26 15:25:00+05:30,147.95,151.6,137.65,140.65,58875,124275,,170.35,0.06,True
75,2021-04-27 09:15:00+05:30,148.5,167.45,89.8,125.3,151725,135225,,168.388,0.06,False
76,2021-04-27 09:20:00+05:30,123.55,127.85,101.6,125.7,201600,158825,,167.45,0.12,False
77,2021-04-27 09:25:00+05:30,125.3,126.1,116.15,116.7,128300,178450,,167.45,0.12,False
78,2021-04-27 09:30:00+05:30,115.8,125.8,109.1,117.0,150550,202625,,158.132,0.12,False
79,2021-04-27 09:35:00+05:30,117.35,129.5,117.0,125.55,93325,220975,,149.93216,0.12,False
80,2021-04-27 09:40:00+05:30,124.45,126.55,116.25,124.95,77525,235375,,142.7163008,0.12,False
81,2021-04-27 09:45:00+05:30,125.0,128.2,118.05,120.0,63100,235425,,136.366344704,0.12,False
82,2021-04-27 09:50:00+05:30,120.2,132.6,118.0,128.05,95950,237650,89.8,,0.12,True
83,2021-04-27 09:55:00+05:30,128.85,137.05,122.5,127.65,107425,230425,92.368,,0.06,False
84,2021-04-27 10:00:00+05:30,127.1,135.9,127.1,131.1,77900,231525,97.72984,,0.12,False
85,2021-04-27 10:05:00+05:30,131.1,131.7,123.0,126.5,56675,232875,102.4482592,,0.12,False
86,2021-04-27 10:10:00+05:30,125.8,127.15,115.75,125.7,73300,230075,106.600468096,,0.12,False
87,2021-04-27 10:15:00+05:30,125.7,129.25,119.4,121.65,46550,232150,110.25441192448,,0.12,False
88,2021-04-27 10:20:00+05:30,121.3,123.4,114.1,118.85,74125,228975,113.4698824935424,,0.12,False
89,2021-04-27 10:25:00+05:30,118.55,127.65,116.65,127.2,55200,227100,114.1,,0.12,False
90,2021-04-27 10:30:00+05:30,127.2,132.3,119.0,127.05,74050,228725,114.1,,0.12,False
91,2021-04-27 10:35:00+05:30,126.9,134.4,124.35,132.25,79125,230950,116.65,,0.12,False
92,2021-04-27 10:40:00+05:30,131.85,137.55,128.0,135.9,78975,228875,119.0,,0.12,False
93,2021-04-27 10:45:00+05:30,136.1,141.8,126.65,132.65,108200,226625,122.339,,0.18,False
94,2021-04-27 10:50:00+05:30,132.65,141.65,130.05,139.9,90775,229700,126.2312,,0.2,False
95,2021-04-27 10:55:00+05:30,139.75,149.9,135.3,145.95,154425,225075,126.65,,0.2,False
96,2021-04-27 11:00:00+05:30,146.65,148.7,136.0,141.7,101200,221950,130.05,,0.2,False
97,2021-04-27 11:05:00+05:30,141.7,146.45,136.85,145.15,42075,216625,134.02,,0.2,False
98,2021-04-27 11:10:00+05:30,146.45,157.9,145.15,151.8,101650,207775,136.0,,0.2,False
99,2021-04-27 11:15:00+05:30,151.45,153.4,141.0,147.15,47250,207075,136.85,,0.2,False
100,2021-04-27 11:20:00+05:30,147.15,149.7,138.0,138.4,47625,208450,,157.9,0.2,True
101,2021-04-27 11:25:00+05:30,139.2,143.55,132.5,142.8,59175,201600,,156.70600000000002,0.06,False
102,2021-04-27 11:30:00+05:30,142.8,144.0,134.05,138.8,41800,201275,,153.80128000000002,0.12,False
103,2021-04-27 11:35:00+05:30,138.8,138.8,128.95,135.75,43400,199350,,151.2451264,0.12,False
104,2021-04-27 11:40:00+05:30,135.7,145.05,135.3,142.05,45425,195750,,147.232003648,0.18,False
105,2021-04-27 11:45:00+05:30,142.1,146.9,136.4,140.95,32750,195925,128.95,,0.18,True
106,2021-04-27 11:50:00+05:30,142.6,157.2,141.8,151.85,66850,192400,130.027,,0.06,False
107,2021-04-27 11:55:00+05:30,152.25,159.65,148.05,157.4,100425,197150,133.28776,,0.12,False
108,2021-04-27 12:00:00+05:30,156.15,183.85,156.0,174.75,169125,182025,138.03296319999998,,0.18,False
109,2021-04-27 12:05:00+05:30,175.0,177.85,168.85,172.65,67275,193825,147.19637056,,0.2,False
110,2021-04-27 12:10:00+05:30,172.5,178.0,161.55,177.5,85300,194600,154.52709644799998,,0.2,False
111,2021-04-27 12:15:00+05:30,177.25,183.65,172.35,181.55,84525,200900,160.39167715839997,,0.2,False
112,2021-04-27 12:20:00+05:30,180.45,180.85,167.05,170.65,57625,204550,161.55,,0.2,False
113,2021-04-27 12:25:00+05:30,171.45,171.7,152.65,159.5,60425,202125,,183.85,0.2,True
114,2021-04-27 12:30:00+05:30,159.8,162.9,151.15,158.6,29850,199750,,181.978,0.06,False
115,2021-04-27 12:35:00+05:30,158.2,167.8,151.95,166.75,44375,199175,,178.27864,0.12,False
116,2021-04-27 12:40:00+05:30,166.75,170.4,158.85,161.0,22500,197250,,175.02320319999998,0.12,False
117,2021-04-27 12:45:00+05:30,161.0,167.5,160.0,162.1,13600,197900,,172.158418816,0.12,False
118,2021-04-27 12:50:00+05:30,162.6,171.6,162.0,166.9,21475,201325,151.15,,0.12,True
119,2021-04-27 12:55:00+05:30,166.9,167.2,144.5,149.05,61525,205700,,171.6,0.06,True
120,2021-04-27 13:00:00+05:30,149.2,156.95,146.45,155.65,37200,211525,,171.6,0.06,False
121,2021-04-27 13:05:00+05:30,154.5,160.5,148.65,152.4,25275,211700,,169.974,0.06,False
122,2021-04-27 13:10:00+05:30,151.65,157.0,146.3,149.1,24625,211375,,168.44556,0.06,False
123,2021-04-27 13:15:00+05:30,148.6,154.95,140.7,154.0,31850,211975,,167.0088264,0.06,False
124,2021-04-27 13:20:00+05:30,154.0,159.8,149.85,150.5,36525,210850,,163.85176723200001,0.12,False
125,2021-04-27 13:25:00+05:30,150.5,155.6,143.0,148.15,33125,210450,,161.07355516416,0.12,False
126,2021-04-27 13:30:00+05:30,148.15,151.05,141.05,147.85,30125,206450,,159.8,0.12,False
127,2021-04-27 13:35:00+05:30,147.85,152.4,142.65,146.6,27825,206325,,157.508,0.12,False
128,2021-04-27 13:40:00+05:30,146.45,147.95,140.9,146.1,22950,204500,,155.49104,0.12,False
129,2021-04-27 13:45:00+05:30,146.95,176.55,146.1,170.85,140425,205175,140.7,,0.12,True
130,2021-04-27 13:50:00+05:30,170.4,176.0,161.5,168.0,61825,212525,140.9,,0.06,False
131,2021-04-27 13:55:00+05:30,168.4,175.0,164.6,173.8,39875,210050,143.03900000000002,,0.06,False
132,2021-04-27 14:00:00+05:30,173.45,198.55,170.0,193.3,164875,190725,145.04966000000002,,0.06,False
133,2021-04-27 14:05:00+05:30,193.7,198.45,186.2,193.0,111800,208100,151.46970080000003,,0.12,False
134,2021-04-27 14:10:00+05:30,193.65,204.0,188.0,196.55,124525,208800,157.11933670400003,,0.12,False
135,2021-04-27 14:15:00+05:30,196.45,198.25,181.55,190.85,80675,220475,165.55785609728002,,0.18,False
136,2021-04-27 14:20:00+05:30,191.0,198.0,182.2,188.0,69000,223175,172.4774419997696,,0.18,False
137,2021-04-27 14:25:00+05:30,186.95,198.9,184.0,198.25,53025,223325,178.15150243981108,,0.18,False
138,2021-04-27 14:30:00+05:30,200.0,202.35,188.2,197.7,113375,220600,182.2,,0.18,False
139,2021-04-27 14:35:00+05:30,196.25,200.4,191.0,193.0,95050,212025,184.0,,0.18,False
140,2021-04-27 14:40:00+05:30,193.0,198.0,175.9,184.2,102325,216625,,204.0,0.18,True
141,2021-04-27 14:45:00+05:30,184.45,189.8,167.0,174.1,85850,212675,,202.314,0.06,False
142,2021-04-27 14:50:00+05:30,175.0,183.05,163.7,164.6,71300,212100,,198.07631999999998,0.12,False
143,2021-04-27 14:55:00+05:30,165.85,178.9,164.2,174.5,57875,210225,,191.8885824,0.18,False
144,2021-04-27 15:00:00+05:30,172.4,179.0,164.05,169.6,102750,210800,,186.814637568,0.18,False
145,2021-04-27 15:05:00+05:30,169.3,173.8,167.7,171.25,68350,207800,,182.65400280576,0.18,False
146,2021-04-27 15:10:00+05:30,171.25,185.55,170.6,184.85,93025,199375,163.7,,0.18,True
147,2021-04-27 15:15:00+05:30,185.2,195.45,181.95,184.3,109900,177725,165.011,,0.06,False
148,2021-04-27 15:20:00+05:30,184.6,192.95,184.6,187.6,99375,173175,168.66368,,0.12,False
149,2021-04-27 15:25:00+05:30,186.95,187.3,178.55,181.25,86000,161400,171.8780384,,0.12,False
