,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2
0,2021-05-17 09:15:00+05:30,25.65,27.1,20.0,21.85,409675,857025,0.0,1,,
1,2021-05-17 09:20:00+05:30,22.35,22.8,20.75,21.2,325500,813800,,1,,
2,2021-05-17 09:25:00+05:30,21.0,21.35,18.1,18.35,261375,813300,,1,,
3,2021-05-17 09:30:00+05:30,18.4,29.0,18.15,28.05,428300,805800,,1,,
4,2021-05-17 09:35:00+05:30,28.5,29.5,24.15,25.6,322825,812875,,1,,
5,2021-05-17 09:40:00+05:30,25.45,31.15,25.45,29.5,365975,869575,27.126456124520637,1,27.126456124520637,
6,2021-05-17 09:45:00+05:30,29.75,32.95,26.15,26.2,315175,853350,30.76665003394265,-1,,30.76665003394265
7,2021-05-17 09:50:00+05:30,26.5,27.25,25.05,25.35,176700,828850,27.19798143664308,-1,,27.19798143664308
8,2021-05-17 09:55:00+05:30,25.25,27.2,24.55,25.85,155050,810875,26.81589764001078,-1,,26.81589764001078
9,2021-05-17 10:00:00+05:30,25.75,34.4,25.3,33.8,275200,815725,28.73436409458351,1,28.73436409458351,
10,2021-05-17 10:05:00+05:30,34.15,44.0,32.8,43.8,403750,852450,37.06782675436124,1,37.06782675436124,
11,2021-05-17 10:10:00+05:30,44.4,49.35,38.35,49.3,449300,899275,42.35491761822479,1,42.35491761822479,
12,2021-05-17 10:15:00+05:30,49.75,52.7,42.75,51.1,355200,921550,46.13892701366733,1,46.13892701366733,
13,2021-05-17 10:20:00+05:30,51.25,53.1,41.15,41.55,248200,910550,48.856378141474195,-1,,48.856378141474195
14,2021-05-17 10:25:00+05:30,41.4,44.95,41.15,43.6,104725,921225,44.60824446142226,-1,,44.60824446142226
15,2021-05-17 10:30:00+05:30,43.7,44.4,38.5,40.0,131800,932200,42.94159900557139,-1,,42.94159900557139
16,2021-05-17 10:35:00+05:30,39.75,42.6,39.7,42.4,100150,937875,42.482494480896435,-1,,42.482494480896435
17,2021-05-17 10:40:00+05:30,43.35,54.5,42.7,49.4,348000,927200,47.0791809325343,1,47.0791809325343,
18,2021-05-17 10:45:00+05:30,49.4,51.05,45.95,50.85,152575,935275,47.06534787691634,1,47.06534787691634,
19,2021-05-17 10:50:00+05:30,51.95,54.95,46.0,46.5,155275,937200,51.97046296241089,-1,,51.97046296241089
