,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-07-15 09:15:00+05:30,138.05,159.05,138.05,156.15,200,2975,0.0,1,,,0.0,1,,,,151.08333333333334,,,0.02,0
1,2021-07-15 09:45:00+05:30,156.15,165.05,156.15,159.0,325,2975,,1,,,,1,,,,156.64444444444447,105.0,,0.04,0
2,2021-07-15 10:15:00+05:30,159.0,182.0,154.95,182.0,250,3025,,1,,,,1,,,,161.91505376344088,107.402,,0.06,0
3,2021-07-15 10:45:00+05:30,182.0,195.1,182.0,195.0,525,3100,,1,,,,1,,,,173.5397435897436,111.87788,,0.08,0
4,2021-07-15 11:15:00+05:30,195.0,195.0,154.95,187.25,725,3700,,1,,,,1,,,,175.51851851851853,118.5356496,,0.08,0
5,2021-07-15 11:45:00+05:30,187.25,187.25,178.0,185.0,275,3800,,1,,,,1,,,,176.4628623188406,124.660797632,,0.08,0
6,2021-07-15 12:15:00+05:30,185.0,191.95,185.0,191.95,25,3850,,1,,,,1,,,,176.60448028673835,130.29593382144,,0.08,0
7,2021-07-15 12:45:00+05:30,191.95,191.95,184.55,184.55,25,3850,172.15,1,172.15,,156.05,1,156.05,,,176.71524822695037,135.4802591157248,,0.08,0
8,2021-07-15 13:15:00+05:30,184.55,184.55,177.5,177.5,25,3850,172.15,1,172.15,,156.05,1,156.05,,,176.7482456140351,140.24983838646682,,0.08,0
9,2021-07-15 13:45:00+05:30,177.5,177.5,177.5,177.5,0,3850,172.15,1,172.15,,156.05,1,156.05,,,176.7482456140351,144.63785131554948,,0.08,0
10,2021-07-15 14:15:00+05:30,177.5,179.9,170.0,176.0,300,4050,172.15,1,172.15,,156.05,1,156.05,,,176.58582554517136,148.67482321030553,,0.08,0
11,2021-07-15 14:45:00+05:30,176.0,176.0,173.2,174.0,175,4175,172.15,1,172.15,,156.05,1,156.05,,,176.45160818713452,152.38883735348108,,0.08,0
12,2021-07-15 15:15:00+05:30,174.0,175.95,173.0,175.95,175,4275,172.15,1,172.15,,156.05,1,156.05,,,176.36570247933884,155.8057303652026,,0.08,0
13,2021-07-16 09:45:00+05:30,161.0,161.0,140.0,140.0,625,4425,164.0321825939872,-1,,164.0321825939872,177.5643651879744,-1,,177.5643651879744,,147.0,,195.1,0.02,1
