,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-27 09:15:00+05:30,148.5,167.45,89.8,125.3,151725,135225,,,0.06,False
1,2021-04-27 09:20:00+05:30,123.55,127.85,101.6,125.7,201600,158825,,,0.06,False
2,2021-04-27 09:25:00+05:30,125.3,126.1,116.15,116.7,128300,178450,,167.45,0.06,True
3,2021-04-27 09:30:00+05:30,115.8,125.8,109.1,117.0,150550,202625,,164.37199999999999,0.06,False
4,2021-04-27 09:35:00+05:30,117.35,129.5,117.0,125.55,93325,220975,,157.73935999999998,0.12,False
5,2021-04-27 09:40:00+05:30,124.45,126.55,116.25,124.95,77525,235375,,151.90263679999998,0.12,False
6,2021-04-27 09:45:00+05:30,125.0,128.2,118.05,120.0,63100,235425,,146.76632038399998,0.12,False
7,2021-04-27 09:50:00+05:30,120.2,132.6,118.0,128.05,95950,237650,,142.24636193791997,0.12,False
8,2021-04-27 09:55:00+05:30,128.85,137.05,122.5,127.65,107425,230425,,138.26879850536957,0.12,False
9,2021-04-27 10:00:00+05:30,127.1,135.9,127.1,131.1,77900,231525,109.1,,0.12,True
10,2021-04-27 10:05:00+05:30,131.1,131.7,123.0,126.5,56675,232875,110.708,,0.06,False
11,2021-04-27 10:10:00+05:30,125.8,127.15,115.75,125.7,73300,230075,112.21952,,0.06,False
12,2021-04-27 10:15:00+05:30,125.7,129.25,119.4,121.65,46550,232150,113.6403488,,0.06,False
13,2021-04-27 10:20:00+05:30,121.3,123.4,114.1,118.85,74125,228975,,135.9,0.06,True
14,2021-04-27 10:25:00+05:30,118.55,127.65,116.65,127.2,55200,227100,,134.592,0.06,False
15,2021-04-27 10:30:00+05:30,127.2,132.3,119.0,127.05,74050,228725,,133.36248,0.06,False
16,2021-04-27 10:35:00+05:30,126.9,134.4,124.35,132.25,79125,230950,114.1,,0.06,True
17,2021-04-27 10:40:00+05:30,131.85,137.55,128.0,135.9,78975,228875,115.318,,0.06,False
18,2021-04-27 10:45:00+05:30,136.1,141.8,126.65,132.65,108200,226625,117.98584,,0.12,False
19,2021-04-27 10:50:00+05:30,132.65,141.65,130.05,139.9,90775,229700,122.2723888,,0.18,False
20,2021-04-27 10:55:00+05:30,139.75,149.9,135.3,145.95,154425,225075,125.78735881600001,,0.18,False
21,2021-04-27 11:00:00+05:30,146.65,148.7,136.0,141.7,101200,221950,130.05,,0.2,False
22,2021-04-27 11:05:00+05:30,141.7,146.45,136.85,145.15,42075,216625,134.02,,0.2,False
23,2021-04-27 11:10:00+05:30,146.45,157.9,145.15,151.8,101650,207775,136.0,,0.2,False
24,2021-04-27 11:15:00+05:30,151.45,153.4,141.0,147.15,47250,207075,136.85,,0.2,False
25,2021-04-27 11:20:00+05:30,147.15,149.7,138.0,138.4,47625,208450,,157.9,0.2,True
26,2021-04-27 11:25:00+05:30,139.2,143.55,132.5,142.8,59175,201600,,156.70600000000002,0.06,False
27,2021-04-27 11:30:00+05:30,142.8,144.0,134.05,138.8,41800,201275,,153.80128000000002,0.12,False
28,2021-04-27 11:35:00+05:30,138.8,138.8,128.95,135.75,43400,199350,,151.2451264,0.12,False
29,2021-04-27 11:40:00+05:30,135.7,145.05,135.3,142.05,45425,195750,,147.232003648,0.18,False
30,2021-04-27 11:45:00+05:30,142.1,146.9,136.4,140.95,32750,195925,128.95,,0.18,True
31,2021-04-27 11:50:00+05:30,142.6,157.2,141.8,151.85,66850,192400,130.027,,0.06,False
32,2021-04-27 11:55:00+05:30,152.25,159.65,148.05,157.4,100425,197150,133.28776,,0.12,False
33,2021-04-27 12:00:00+05:30,156.15,183.85,156.0,174.75,169125,182025,138.03296319999998,,0.18,False
34,2021-04-27 12:05:00+05:30,175.0,177.85,168.85,172.65,67275,193825,147.19637056,,0.2,False
35,2021-04-27 12:10:00+05:30,172.5,178.0,161.55,177.5,85300,194600,154.52709644799998,,0.2,False
36,2021-04-27 12:15:00+05:30,177.25,183.65,172.35,181.55,84525,200900,160.39167715839997,,0.2,False
37,2021-04-27 12:20:00+05:30,180.45,180.85,167.05,170.65,57625,204550,161.55,,0.2,False
38,2021-04-27 12:25:00+05:30,171.45,171.7,152.65,159.5,60425,202125,,183.85,0.2,True
39,2021-04-27 12:30:00+05:30,159.8,162.9,151.15,158.6,29850,199750,,181.978,0.06,False
40,2021-04-27 12:35:00+05:30,158.2,167.8,151.95,166.75,44375,199175,,178.27864,0.12,False
41,2021-04-27 12:40:00+05:30,166.75,170.4,158.85,161.0,22500,197250,,175.02320319999998,0.12,False
42,2021-04-27 12:45:00+05:30,161.0,167.5,160.0,162.1,13600,197900,,172.158418816,0.12,False
43,2021-04-27 12:50:00+05:30,162.6,171.6,162.0,166.9,21475,201325,151.15,,0.12,True
44,2021-04-27 12:55:00+05:30,166.9,167.2,144.5,149.05,61525,205700,,171.6,0.06,True
45,2021-04-27 13:00:00+05:30,149.2,156.95,146.45,155.65,37200,211525,,171.6,0.06,False
46,2021-04-27 13:05:00+05:30,154.5,160.5,148.65,152.4,25275,211700,,169.974,0.06,False
47,2021-04-27 13:10:00+05:30,151.65,157.0,146.3,149.1,24625,211375,,168.44556,0.06,False
48,2021-04-27 13:15:00+05:30,148.6,154.95,140.7,154.0,31850,211975,,167.0088264,0.06,False
49,2021-04-27 13:20:00+05:30,154.0,159.8,149.85,150.5,36525,210850,,163.85176723200001,0.12,False
50,2021-04-27 13:25:00+05:30,150.5,155.6,143.0,148.15,33125,210450,,161.07355516416,0.12,False
51,2021-04-27 13:30:00+05:30,148.15,151.05,141.05,147.85,30125,206450,,159.8,0.12,False
52,2021-04-27 13:35:00+05:30,147.85,152.4,142.65,146.6,27825,206325,,157.508,0.12,False
53,2021-04-27 13:40:00+05:30,146.45,147.95,140.9,146.1,22950,204500,,155.49104,0.12,False
54,2021-04-27 13:45:00+05:30,146.95,176.55,146.1,170.85,140425,205175,140.7,,0.12,True
55,2021-04-27 13:50:00+05:30,170.4,176.0,161.5,168.0,61825,212525,140.9,,0.06,False
56,2021-04-27 13:55:00+05:30,168.4,175.0,164.6,173.8,39875,210050,143.03900000000002,,0.06,False
57,2021-04-27 14:00:00+05:30,173.45,198.55,170.0,193.3,164875,190725,145.04966000000002,,0.06,False
58,2021-04-27 14:05:00+05:30,193.7,198.45,186.2,193.0,111800,208100,151.46970080000003,,0.12,False
59,2021-04-27 14:10:00+05:30,193.65,204.0,188.0,196.55,124525,208800,157.11933670400003,,0.12,False
60,2021-04-27 14:15:00+05:30,196.45,198.25,181.55,190.85,80675,220475,165.55785609728002,,0.18,False
61,2021-04-27 14:20:00+05:30,191.0,198.0,182.2,188.0,69000,223175,172.4774419997696,,0.18,False
62,2021-04-27 14:25:00+05:30,186.95,198.9,184.0,198.25,53025,223325,178.15150243981108,,0.18,False
63,2021-04-27 14:30:00+05:30,200.0,202.35,188.2,197.7,113375,220600,182.2,,0.18,False
64,2021-04-27 14:35:00+05:30,196.25,200.4,191.0,193.0,95050,212025,184.0,,0.18,False
65,2021-04-27 14:40:00+05:30,193.0,198.0,175.9,184.2,102325,216625,,204.0,0.18,True
66,2021-04-27 14:45:00+05:30,184.45,189.8,167.0,174.1,85850,212675,,202.314,0.06,False
67,2021-04-27 14:50:00+05:30,175.0,183.05,163.7,164.6,71300,212100,,198.07631999999998,0.12,False
68,2021-04-27 14:55:00+05:30,165.85,178.9,164.2,174.5,57875,210225,,191.8885824,0.18,False
69,2021-04-27 15:00:00+05:30,172.4,179.0,164.05,169.6,102750,210800,,186.814637568,0.18,False
70,2021-04-27 15:05:00+05:30,169.3,173.8,167.7,171.25,68350,207800,,182.65400280576,0.18,False
71,2021-04-27 15:10:00+05:30,171.25,185.55,170.6,184.85,93025,199375,163.7,,0.18,True
72,2021-04-27 15:15:00+05:30,185.2,195.45,181.95,184.3,109900,177725,165.011,,0.06,False
73,2021-04-27 15:20:00+05:30,184.6,192.95,184.6,187.6,99375,173175,168.66368,,0.12,False
74,2021-04-27 15:25:00+05:30,186.95,187.3,178.55,181.25,86000,161400,171.8780384,,0.12,False
