,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-28 09:15:00+05:30,863.95,863.95,862.0,862.0,0,475,,,0.06,False
1,2021-04-28 09:20:00+05:30,862.0,863.85,833.45,833.45,100,550,,,0.06,False
2,2021-04-28 09:25:00+05:30,823.0,823.0,822.0,822.0,75,625,,863.95,0.06,True
3,2021-04-28 09:30:00+05:30,815.4,815.4,811.05,811.05,100,675,,863.85,0.06,False
4,2021-04-28 09:35:00+05:30,811.05,825.85,811.05,825.85,25,725,,857.514,0.12,False
5,2021-04-28 09:40:00+05:30,825.85,825.85,801.4,804.8,150,750,,851.93832,0.12,False
6,2021-04-28 09:45:00+05:30,804.8,805.7,792.55,792.55,50,725,,842.8414223999999,0.18,False
7,2021-04-28 09:50:00+05:30,790.05,790.05,768.25,778.65,250,775,,832.78313792,0.2,False
8,2021-04-28 09:55:00+05:30,778.65,778.65,778.65,778.65,50,775,,819.8765103359999,0.2,False
9,2021-04-28 10:00:00+05:30,778.65,798.95,778.65,798.95,50,800,,809.5512082687999,0.2,False
10,2021-04-28 10:05:00+05:30,798.95,800.4,784.05,791.75,675,800,,801.2909666150399,0.2,False
11,2021-04-28 10:10:00+05:30,791.75,796.7,784.3,796.7,75,1375,768.25,,0.2,True
12,2021-04-28 10:15:00+05:30,796.7,796.7,796.7,796.7,0,1375,769.957,,0.06,False
13,2021-04-28 10:20:00+05:30,796.7,832.0,796.7,830.6,325,1425,771.56158,,0.06,False
14,2021-04-28 10:25:00+05:30,828.2,839.8,828.2,839.8,125,1325,778.8141904,,0.12,False
15,2021-04-28 10:30:00+05:30,839.8,839.8,821.85,821.85,25,1375,789.791636128,,0.18,False
16,2021-04-28 10:35:00+05:30,821.85,821.85,821.85,821.85,0,1375,798.7931416249601,,0.18,False
17,2021-04-28 10:40:00+05:30,821.85,821.85,804.8,804.8,50,1200,,839.8,0.18,True
18,2021-04-28 10:45:00+05:30,784.3,784.3,784.3,784.3,25,1250,,837.6999999999999,0.06,False
19,2021-04-28 10:50:00+05:30,784.3,800.4,784.3,794.4,150,1275,,831.2919999999999,0.12,False
