,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-26 09:15:00+05:30,454.8,502.9,408.6,445.8,128950,45850,,,0.06,False
1,2021-04-26 09:20:00+05:30,444.8,446.15,403.45,406.5,171275,92075,,,0.06,False
2,2021-04-26 09:25:00+05:30,406.6,414.35,376.9,409.6,131825,125550,,502.9,0.06,True
3,2021-04-26 09:30:00+05:30,409.75,410.75,365.0,380.6,88450,127750,,495.34,0.06,False
4,2021-04-26 09:35:00+05:30,382.35,395.35,368.05,389.3,58650,131925,,479.69919999999996,0.12,False
5,2021-04-26 09:40:00+05:30,391.95,400.0,381.45,395.0,43875,134625,,465.935296,0.12,False
6,2021-04-26 09:45:00+05:30,394.25,409.45,388.5,401.2,56775,132025,,453.82306048,0.12,False
7,2021-04-26 09:50:00+05:30,402.45,409.95,377.5,387.4,44250,139475,,443.1642932224,0.12,False
8,2021-04-26 09:55:00+05:30,384.0,391.25,354.9,366.65,66450,142625,,433.784578035712,0.12,False
9,2021-04-26 10:00:00+05:30,366.6,367.2,344.6,357.55,46125,139475,,419.5853539892838,0.18,False
10,2021-04-26 10:05:00+05:30,357.85,368.0,353.4,358.15,46800,144750,,404.5882831914271,0.2,False
11,2021-04-26 10:10:00+05:30,357.9,390.45,352.55,385.85,58050,154500,,392.59062655314165,0.2,False
12,2021-04-26 10:15:00+05:30,385.75,406.5,378.55,403.25,71500,151975,344.6,,0.2,True
13,2021-04-26 10:20:00+05:30,403.25,406.35,382.1,387.8,46125,152750,348.314,,0.06,False
14,2021-04-26 10:25:00+05:30,387.8,400.9,371.2,379.15,37675,151750,351.80516,,0.06,False
15,2021-04-26 10:30:00+05:30,380.0,398.7,372.0,394.65,34975,155275,355.0868504,,0.06,False
16,2021-04-26 10:35:00+05:30,395.65,404.45,381.5,386.6,57075,155975,358.17163937600003,,0.06,False
17,2021-04-26 10:40:00+05:30,385.5,392.75,376.75,381.85,57275,184425,361.07134101344,,0.06,False
18,2021-04-26 10:45:00+05:30,381.85,395.15,368.2,388.55,67900,191175,363.79706055263364,,0.06,False
19,2021-04-26 10:50:00+05:30,388.45,395.0,378.35,388.25,33750,189925,366.3592369194756,,0.06,False
20,2021-04-26 10:55:00+05:30,388.25,399.5,383.65,385.35,43050,191225,368.2,,0.06,False
21,2021-04-26 11:00:00+05:30,386.0,387.0,331.2,343.5,121425,182125,,406.5,0.06,True
22,2021-04-26 11:05:00+05:30,343.8,359.75,334.05,351.5,55950,177475,,401.98199999999997,0.06,False
23,2021-04-26 11:10:00+05:30,352.85,357.9,343.4,345.55,27625,183275,,397.73508,0.06,False
24,2021-04-26 11:15:00+05:30,344.1,357.95,343.5,353.0,19125,182325,,393.7429752,0.06,False
25,2021-04-26 11:20:00+05:30,351.9,365.9,348.0,360.0,34950,185725,,389.990396688,0.06,False
26,2021-04-26 11:25:00+05:30,360.0,371.95,354.15,369.25,29350,189825,,386.46297288671997,0.06,False
27,2021-04-26 11:30:00+05:30,368.95,371.65,347.1,355.25,32800,187075,,383.14719451351675,0.06,False
28,2021-04-26 11:35:00+05:30,355.25,378.9,347.3,350.35,58825,192800,,380.03036284270576,0.06,False
29,2021-04-26 11:40:00+05:30,350.85,357.4,343.85,356.55,25950,192350,,378.9,0.06,False
30,2021-04-26 11:45:00+05:30,355.95,362.7,348.2,359.05,25150,192500,,378.9,0.06,False
31,2021-04-26 11:50:00+05:30,359.05,377.25,357.0,362.15,42950,197500,331.2,,0.06,True
32,2021-04-26 11:55:00+05:30,362.15,371.55,352.75,362.85,23250,196000,333.96299999999997,,0.06,False
33,2021-04-26 12:00:00+05:30,363.85,374.75,353.5,362.55,22850,195925,336.56021999999996,,0.06,False
34,2021-04-26 12:05:00+05:30,362.85,377.4,348.35,372.0,36675,198025,339.00160679999993,,0.06,False
35,2021-04-26 12:10:00+05:30,373.0,374.75,359.8,366.5,21900,196675,343.60941398399996,,0.12,False
36,2021-04-26 12:15:00+05:30,367.75,401.95,350.65,395.7,96150,198450,347.66428430592,,0.12,False
37,2021-04-26 12:20:00+05:30,395.95,409.85,382.6,393.25,110550,195750,350.65,,0.18,False
38,2021-04-26 12:25:00+05:30,392.4,410.0,370.3,392.15,87950,194225,350.65,,0.2,False
39,2021-04-26 12:30:00+05:30,392.15,425.0,391.25,421.2,170275,190300,362.52,,0.2,False
40,2021-04-26 12:35:00+05:30,422.1,424.4,397.65,402.8,138775,230700,370.3,,0.2,False
41,2021-04-26 12:40:00+05:30,404.3,413.55,390.1,403.75,88475,218325,381.24,,0.2,False
42,2021-04-26 12:45:00+05:30,400.0,401.4,377.35,388.95,89425,220800,,425.0,0.2,True
43,2021-04-26 12:50:00+05:30,387.65,397.75,377.4,384.25,56375,220000,,422.141,0.06,False
44,2021-04-26 12:55:00+05:30,384.15,389.0,366.65,371.35,92275,218325,,419.45354000000003,0.06,False
45,2021-04-26 13:00:00+05:30,372.2,384.85,357.25,375.4,70475,211900,,413.1171152,0.12,False
46,2021-04-26 13:05:00+05:30,375.4,391.15,363.5,390.0,62375,215375,,403.061034464,0.18,False
47,2021-04-26 13:10:00+05:30,390.0,397.75,385.2,389.9,79150,214400,357.25,,0.18,True
48,2021-04-26 13:15:00+05:30,391.65,423.9,381.95,405.8,157175,224000,359.68,,0.06,False
49,2021-04-26 13:20:00+05:30,409.3,411.0,390.45,404.7,76000,222775,367.3864,,0.12,False
50,2021-04-26 13:25:00+05:30,404.7,404.7,381.8,391.3,63275,221400,374.168032,,0.12,False
51,2021-04-26 13:30:00+05:30,391.3,432.65,382.75,416.0,160850,224425,380.13586816,,0.12,False
52,2021-04-26 13:35:00+05:30,416.8,426.85,394.9,401.55,110250,219325,381.8,,0.18,False
53,2021-04-26 13:40:00+05:30,400.65,420.0,397.4,416.0,66625,223450,382.75,,0.18,False
54,2021-04-26 13:45:00+05:30,416.0,422.0,387.9,395.6,86875,222225,,432.65,0.18,True
55,2021-04-26 13:50:00+05:30,395.6,417.05,325.15,356.15,179600,219525,,429.965,0.06,False
56,2021-04-26 13:55:00+05:30,356.45,375.0,356.2,365.9,54325,221000,,422.0,0.12,False
57,2021-04-26 14:00:00+05:30,365.9,369.75,343.3,366.65,62375,214125,,417.05,0.12,False
58,2021-04-26 14:05:00+05:30,366.65,394.35,366.25,390.5,83100,210125,,406.022,0.12,False
59,2021-04-26 14:10:00+05:30,390.25,395.65,380.0,385.95,40100,212050,,396.31736,0.12,False
60,2021-04-26 14:15:00+05:30,385.95,403.85,384.0,396.25,62150,207350,325.15,,0.12,True
61,2021-04-26 14:20:00+05:30,396.25,419.65,395.0,419.2,86700,203725,329.87199999999996,,0.06,False
62,2021-04-26 14:25:00+05:30,422.0,441.0,411.85,426.15,192325,193575,340.64536,,0.12,False
63,2021-04-26 14:30:00+05:30,425.0,450.0,400.05,448.5,147525,186975,358.7091952,,0.18,False
64,2021-04-26 14:35:00+05:30,451.55,456.55,430.0,440.65,126250,173725,376.96735616,,0.2,False
