,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2
0,2021-05-18 09:15:00+05:30,324.0,479.9,322.0,343.85,1096850,229650,0.0,1,,
1,2021-05-18 09:20:00+05:30,346.55,364.55,318.45,327.45,1028300,559625,,1,,
2,2021-05-18 09:25:00+05:30,325.05,327.65,265.75,272.75,955125,739500,,1,,
3,2021-05-18 09:30:00+05:30,272.05,363.6,268.5,343.35,1040225,815700,,1,,
4,2021-05-18 09:35:00+05:30,346.4,379.05,300.7,328.15,1033975,825700,,1,,
5,2021-05-18 09:40:00+05:30,326.05,346.7,309.0,322.1,494375,883275,313.2886536044601,1,313.2886536044601,
6,2021-05-18 09:45:00+05:30,321.45,330.75,294.4,315.35,503350,936975,313.2886536044601,1,313.2886536044601,
7,2021-05-18 09:50:00+05:30,315.7,334.9,312.3,324.4,354975,989675,313.2886536044601,1,313.2886536044601,
8,2021-05-18 09:55:00+05:30,325.0,355.3,320.45,355.0,558400,1026375,327.65971015638854,1,327.65971015638854,
9,2021-05-18 10:00:00+05:30,354.05,377.25,330.0,370.55,768325,1025500,343.5618260258158,1,343.5618260258158,
10,2021-05-18 10:05:00+05:30,365.65,447.65,338.0,438.05,1074700,1042950,380.4764355932243,1,380.4764355932243,
11,2021-05-18 10:10:00+05:30,436.5,476.3,409.55,427.4,1059725,766550,430.38844529842345,1,430.38844529842345,
12,2021-05-18 10:15:00+05:30,430.4,432.5,371.15,409.8,516800,765200,414.31254861945104,-1,,414.31254861945104
13,2021-05-18 10:20:00+05:30,410.95,433.55,404.35,408.2,308825,770075,414.31254861945104,-1,,414.31254861945104
14,2021-05-18 10:25:00+05:30,408.15,410.8,353.95,353.95,319825,758500,393.67600681962415,-1,,393.67600681962415
15,2021-05-18 10:30:00+05:30,348.0,363.45,325.5,358.4,491225,765775,355.1221393704365,-1,,355.1221393704365
16,2021-05-18 10:35:00+05:30,358.85,380.6,345.65,347.7,210900,762075,355.1221393704365,-1,,355.1221393704365
17,2021-05-18 10:40:00+05:30,347.55,354.85,325.9,334.15,225900,789350,349.6532637301146,-1,,349.6532637301146
18,2021-05-18 10:45:00+05:30,333.4,362.65,331.7,347.5,266150,791775,349.6532637301146,-1,,349.6532637301146
19,2021-05-18 10:50:00+05:30,348.25,360.85,335.25,338.3,204275,809800,356.17624493742767,-1,,356.17624493742767
20,2021-05-18 10:55:00+05:30,338.0,344.0,293.5,299.55,465700,829825,327.2125134868291,-1,,327.2125134868291
21,2021-05-18 11:00:00+05:30,300.0,300.95,281.4,283.55,374275,871075,298.8647637067643,-1,,298.8647637067643
22,2021-05-18 11:05:00+05:30,284.0,286.9,266.0,285.4,471575,914250,283.5458378142954,-1,,283.5458378142954
23,2021-05-18 11:10:00+05:30,284.55,299.95,272.95,287.8,435975,940425,279.640402470947,1,279.640402470947,
24,2021-05-18 11:15:00+05:30,285.65,297.35,275.5,287.35,274300,958875,280.0263094307803,1,280.0263094307803,
