,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-08-09 12:45:00+05:30,418.5,418.5,418.5,418.5,0,0,0.0,1,,,,,,,0.02,0
1,2021-08-09 13:15:00+05:30,418.5,425.0,418.5,425.0,25,25,,1,,,,422.83333333333326,272.9,,0.04,0
2,2021-08-09 13:45:00+05:30,425.0,425.0,425.0,425.0,0,25,,1,,,,422.83333333333326,278.984,,0.04,0
3,2021-08-09 14:15:00+05:30,425.0,425.0,425.0,425.0,0,25,,1,,,,422.83333333333326,284.82464,,0.04,0
4,2021-08-09 14:45:00+05:30,425.0,425.0,425.0,425.0,0,25,,1,,,,422.83333333333326,290.4316544,,0.04,0
5,2021-08-09 15:15:00+05:30,425.0,425.0,372.75,372.75,50,50,,1,,,,401.0555555555556,295.814388224,,0.04,0
6,2021-08-10 09:15:00+05:30,383.95,383.95,383.9,383.9,0,75,,1,,,,,300.98181269504005,,0.04,0
7,2021-08-10 09:45:00+05:30,383.9,383.9,360.75,360.75,25,100,367.005,1,367.005,,,368.4666666666667,305.9425401872384,,0.04,0
8,2021-08-10 10:15:00+05:30,360.75,360.75,360.75,360.75,0,100,365.31,-1,,365.31,,368.4666666666667,310.70483857974887,,0.04,0
9,2021-08-10 10:45:00+05:30,360.75,360.75,360.75,360.75,0,100,364.6585714285714,-1,,364.6585714285714,,368.4666666666667,315.27664503655893,,0.04,0
10,2021-08-10 11:15:00+05:30,360.75,360.75,344.15,344.15,25,75,356.7487755102041,-1,,356.7487755102041,,359.075,319.6655792350966,,0.04,0
11,2021-08-10 11:45:00+05:30,344.15,344.15,344.15,344.15,0,75,347.83466472303206,-1,,347.83466472303206,,359.075,323.8789560656927,,0.04,0
12,2021-08-10 12:15:00+05:30,344.15,344.15,344.15,344.15,0,75,347.30828404831317,-1,,347.30828404831317,,359.075,327.923797823065,,0.04,0
13,2021-08-10 12:45:00+05:30,344.15,344.15,344.15,344.15,0,75,346.8571006128399,-1,,346.8571006128399,,359.075,331.8068459101424,,0.04,0
14,2021-08-10 13:15:00+05:30,344.15,344.15,344.15,344.15,0,75,346.47037195386275,-1,,346.47037195386275,,359.075,335.5345720737367,,0.04,0
15,2021-08-10 13:45:00+05:30,344.15,402.1,344.15,381.5,75,75,367.82468118240337,1,367.82468118240337,,,369.18,339.11318919078724,,0.04,0
16,2021-08-10 14:15:00+05:30,381.5,390.0,371.75,377.25,100,100,375.28901244206,1,375.28901244206,,,373.8407407407408,342.54866162315574,,0.04,0
17,2021-08-10 14:45:00+05:30,377.25,377.25,377.25,377.25,0,100,375.28901244206,1,375.28901244206,,,373.8407407407408,344.15,,0.04,0
18,2021-08-10 15:15:00+05:30,377.25,377.25,377.25,377.25,25,125,375.28901244206,1,375.28901244206,,,374.1816666666667,347.38399999999996,,0.04,0
19,2021-08-11 09:15:00+05:30,409.0,416.0,409.0,416.0,150,150,406.7680078352331,1,406.7680078352331,,,413.6666666666667,350.48864,,0.04,0
20,2021-08-11 09:45:00+05:30,416.0,450.0,391.15,450.0,75,250,412.2990067159141,1,412.2990067159141,,,419.2388888888889,353.46909439999996,,0.06,0
21,2021-08-11 10:15:00+05:30,450.0,561.2,450.0,536.5,50,250,492.15200575649783,1,492.15200575649783,,,436.81363636363636,359.260948736,,0.08,0
22,2021-08-11 10:45:00+05:30,536.5,536.5,535.0,535.0,50,225,524.1374335055696,1,524.1374335055696,,,451.99615384615385,375.41607283712,,0.08,0
23,2021-08-11 11:15:00+05:30,535.0,551.1,535.0,551.1,50,275,532.1763715762024,1,532.1763715762024,,,464.4944444444444,390.2787870101504,,0.08,0
