,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-07 09:15:00+05:30,46.95,51.95,27.7,47.5,119925,191725,,,0.06,False
1,2021-04-07 09:20:00+05:30,48.4,54.1,44.7,51.5,121000,207425,,,0.06,False
2,2021-04-07 09:25:00+05:30,52.25,58.25,48.4,56.5,91275,222375,,51.95,0.06,True
3,2021-04-07 09:30:00+05:30,55.95,59.35,50.1,51.4,86750,229475,48.4,,0.06,True
4,2021-04-07 09:35:00+05:30,51.6,54.55,46.65,48.4,59375,232525,,59.35,0.06,True
5,2021-04-07 09:40:00+05:30,48.5,63.8,48.05,63.75,88425,232875,46.65,,0.06,True
6,2021-04-07 09:45:00+05:30,63.9,68.2,59.85,63.25,92675,235200,46.65,,0.06,False
7,2021-04-07 09:50:00+05:30,63.5,66.45,55.0,64.2,74750,227050,48.05,,0.12,False
8,2021-04-07 09:55:00+05:30,64.05,66.0,57.3,61.0,46750,223325,50.467999999999996,,0.12,False
9,2021-04-07 10:00:00+05:30,61.0,75.95,49.35,66.7,170125,221375,,68.2,0.12,True
10,2021-04-07 10:05:00+05:30,66.7,71.5,60.15,63.7,164375,236900,49.35,,0.06,True
11,2021-04-07 10:10:00+05:30,64.2,65.5,45.85,54.25,157700,247700,,71.5,0.06,True
12,2021-04-07 10:15:00+05:30,54.2,55.45,36.9,42.95,214025,252675,,71.5,0.06,False
13,2021-04-07 10:20:00+05:30,42.7,45.55,39.8,44.4,78800,258300,,67.348,0.12,False
14,2021-04-07 10:25:00+05:30,43.8,47.65,40.85,42.75,71275,268775,,63.69424,0.12,False
15,2021-04-07 10:30:00+05:30,42.4,44.85,34.85,38.6,95625,268525,,60.4789312,0.12,False
16,2021-04-07 10:35:00+05:30,38.45,42.35,36.4,39.85,59125,267450,,55.865723584,0.18,False
17,2021-04-07 10:40:00+05:30,39.85,40.8,35.65,37.0,38450,271750,,52.08289333888,0.18,False
18,2021-04-07 10:45:00+05:30,36.6,37.95,33.3,35.4,61100,276975,,48.9809725378816,0.18,False
19,2021-04-07 10:50:00+05:30,35.4,40.95,34.6,40.5,50250,281025,,45.84477803030528,0.2,False
20,2021-04-07 10:55:00+05:30,40.8,50.85,40.15,50.4,153700,284225,33.3,,0.2,True
21,2021-04-07 11:00:00+05:30,51.2,56.1,44.6,51.55,162625,274150,34.352999999999994,,0.06,False
22,2021-04-07 11:05:00+05:30,51.45,59.1,47.45,57.55,113675,269450,36.96263999999999,,0.12,False
23,2021-04-07 11:10:00+05:30,57.7,63.2,48.4,57.55,136650,261800,40.947364799999995,,0.18,False
24,2021-04-07 11:15:00+05:30,57.85,62.0,49.2,50.65,194825,274325,45.39789184,,0.2,False
25,2021-04-07 11:20:00+05:30,51.35,51.35,43.95,50.75,99975,272225,,63.2,0.2,True
26,2021-04-07 11:25:00+05:30,51.5,54.75,47.4,53.05,79650,277675,,62.045,0.06,False
27,2021-04-07 11:30:00+05:30,53.0,55.7,48.75,52.25,93250,278575,,60.9593,0.06,False
28,2021-04-07 11:35:00+05:30,52.55,53.55,47.75,50.85,58725,277000,,59.938742,0.06,False
29,2021-04-07 11:40:00+05:30,50.75,51.45,47.25,50.5,55550,282400,,58.979417479999995,0.06,False
30,2021-04-07 11:45:00+05:30,50.2,51.25,47.0,47.9,50525,284800,,58.07765243119999,0.06,False
31,2021-04-07 11:50:00+05:30,47.5,49.6,43.5,45.6,63250,283700,,57.22999328532799,0.06,False
32,2021-04-07 11:55:00+05:30,45.6,49.4,40.4,47.25,90150,297600,,55.58239409108863,0.12,False
33,2021-04-07 12:00:00+05:30,47.25,48.65,44.15,48.0,58975,300625,,52.849563154692675,0.18,False
34,2021-04-07 12:05:00+05:30,47.55,72.35,47.5,63.9,265450,274875,40.4,,0.18,True
35,2021-04-07 12:10:00+05:30,64.8,68.95,57.4,66.3,122925,273425,42.317,,0.06,False
36,2021-04-07 12:15:00+05:30,66.4,67.1,59.2,62.4,83200,271225,44.11898,,0.06,False
37,2021-04-07 12:20:00+05:30,62.7,62.85,57.0,59.7,51625,276225,45.8128412,,0.06,False
38,2021-04-07 12:25:00+05:30,59.7,65.5,56.7,64.5,76325,276025,47.405070728,,0.06,False
39,2021-04-07 12:30:00+05:30,63.85,68.25,58.6,59.65,65500,280875,48.90176648432,,0.06,False
40,2021-04-07 12:35:00+05:30,59.65,67.7,58.25,64.9,145200,287550,50.308660495260796,,0.06,False
41,2021-04-07 12:40:00+05:30,65.0,68.75,60.5,63.15,98725,291850,51.63114086554515,,0.06,False
42,2021-04-07 12:45:00+05:30,63.1,65.85,48.25,65.2,157975,286400,,72.35,0.06,True
43,2021-04-07 12:50:00+05:30,66.1,69.65,62.85,65.0,135675,275225,,70.904,0.06,False
44,2021-04-07 12:55:00+05:30,64.9,65.15,58.7,60.9,75350,279450,,69.65,0.06,False
45,2021-04-07 13:00:00+05:30,60.85,63.5,58.8,61.0,84625,284275,,69.65,0.06,False
46,2021-04-07 13:05:00+05:30,60.1,62.35,52.4,55.0,72550,290025,,68.366,0.06,False
47,2021-04-07 13:10:00+05:30,55.0,60.2,54.8,57.2,68100,286000,,67.15904,0.06,False
48,2021-04-07 13:15:00+05:30,57.2,58.0,43.65,48.7,197850,303900,,66.0244976,0.06,False
49,2021-04-07 13:20:00+05:30,48.95,51.0,39.75,40.15,103500,303700,,63.339557888,0.12,False
50,2021-04-07 13:25:00+05:30,40.1,44.55,37.1,41.2,173175,298950,,59.093437468160005,0.18,False
51,2021-04-07 13:30:00+05:30,41.45,42.05,37.1,39.2,87150,307050,,54.694749974528,0.2,False
52,2021-04-07 13:35:00+05:30,39.25,42.45,37.15,37.55,76350,316700,,51.175799979622404,0.2,False
53,2021-04-07 13:40:00+05:30,37.4,38.35,29.95,30.7,260200,314900,,48.36063998369792,0.2,False
54,2021-04-07 13:45:00+05:30,30.5,35.45,29.75,33.65,133350,302550,,44.67851198695834,0.2,False
55,2021-04-07 13:50:00+05:30,34.1,37.85,32.25,33.4,95100,303450,,41.69280958956667,0.2,False
56,2021-04-07 13:55:00+05:30,33.25,36.0,32.5,35.05,47200,301875,,39.304247671653336,0.2,False
57,2021-04-07 14:00:00+05:30,34.85,37.0,33.7,35.9,66450,306900,,37.85,0.2,False
58,2021-04-07 14:05:00+05:30,35.7,35.85,31.85,32.3,82700,307275,,37.0,0.2,False
59,2021-04-07 14:10:00+05:30,32.25,33.6,29.6,31.5,92650,317150,,37.0,0.2,False
60,2021-04-07 14:15:00+05:30,31.1,31.5,28.5,30.0,84325,309150,,35.85,0.2,False
61,2021-04-07 14:20:00+05:30,30.35,31.25,28.8,29.25,82300,321100,,34.38,0.2,False
62,2021-04-07 14:25:00+05:30,29.05,31.75,27.9,29.85,91175,328950,,33.204,0.2,False
63,2021-04-07 14:30:00+05:30,29.9,39.2,29.15,36.25,118800,320625,27.9,,0.2,True
64,2021-04-07 14:35:00+05:30,35.95,37.95,34.1,34.5,81950,319000,27.9,,0.06,False
65,2021-04-07 14:40:00+05:30,34.6,35.25,28.7,29.05,87100,307075,28.578,,0.06,False
66,2021-04-07 14:45:00+05:30,28.8,29.05,24.6,25.05,117675,300175,,39.2,0.06,True
67,2021-04-07 14:50:00+05:30,25.15,25.25,21.35,22.8,152400,288125,,38.324000000000005,0.06,False
68,2021-04-07 14:55:00+05:30,22.8,22.8,17.9,18.3,193950,284450,,36.28712,0.12,False
69,2021-04-07 15:00:00+05:30,18.6,21.6,17.5,19.95,217125,282450,,32.977438400000004,0.18,False
70,2021-04-07 15:05:00+05:30,19.8,20.55,19.05,19.6,181550,292125,,29.881950720000003,0.2,False
71,2021-04-07 15:10:00+05:30,19.65,19.65,18.35,18.7,272550,277950,,27.405560576000003,0.2,False
72,2021-04-07 15:15:00+05:30,18.7,18.9,17.35,17.9,167925,261200,,25.4244484608,0.2,False
73,2021-04-07 15:20:00+05:30,17.85,18.2,17.05,17.45,178425,258475,,23.809558768640002,0.2,False
74,2021-04-07 15:25:00+05:30,17.4,17.7,15.15,16.5,123300,263325,,22.457647014912002,0.2,False
