,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-08 09:15:00+05:30,690.0,690.0,541.4,546.05,4425,3750,,,0.06,False
1,2021-04-08 09:20:00+05:30,546.05,557.35,521.05,547.8,9000,7925,,,0.06,False
2,2021-04-08 09:25:00+05:30,547.8,563.8,520.0,529.1,5900,10375,,690.0,0.06,True
3,2021-04-08 09:30:00+05:30,529.1,531.95,505.5,531.9,7100,10950,,679.8,0.06,False
4,2021-04-08 09:35:00+05:30,526.4,535.2,506.35,528.0,7500,13300,,658.884,0.12,False
5,2021-04-08 09:40:00+05:30,528.0,554.65,523.7,540.0,7100,14625,,640.47792,0.12,False
6,2021-04-08 09:45:00+05:30,540.0,595.95,540.0,586.8,7400,15300,,624.2805696,0.12,False
7,2021-04-08 09:50:00+05:30,586.8,641.25,586.8,592.5,7700,14400,505.5,,0.12,True
8,2021-04-08 09:55:00+05:30,592.5,594.15,554.8,560.0,4575,14950,513.645,,0.06,False
9,2021-04-08 10:00:00+05:30,560.0,560.0,530.0,552.0,9300,18300,521.3013,,0.06,False
10,2021-04-08 10:05:00+05:30,552.0,555.7,537.65,540.8,2775,18325,528.4982219999999,,0.06,False
11,2021-04-08 10:10:00+05:30,540.8,546.0,526.45,542.9,2050,19175,,641.25,0.06,True
12,2021-04-08 10:15:00+05:30,542.9,567.35,539.0,562.0,3450,19150,,634.362,0.06,False
13,2021-04-08 10:20:00+05:30,562.0,565.95,542.45,556.0,3300,20225,,627.8872799999999,0.06,False
14,2021-04-08 10:25:00+05:30,556.0,567.95,555.4,557.05,1450,20400,,621.8010432,0.06,False
15,2021-04-08 10:30:00+05:30,557.05,559.0,545.65,550.1,1400,20425,,616.079980608,0.06,False
16,2021-04-08 10:35:00+05:30,550.1,556.35,538.95,556.35,2400,20550,,610.70218177152,0.06,False
17,2021-04-08 10:40:00+05:30,556.35,576.95,556.35,571.95,3025,20750,,605.6470508652288,0.06,False
18,2021-04-08 10:45:00+05:30,571.95,587.25,563.9,576.8,6500,20800,,600.8952278133152,0.06,False
19,2021-04-08 10:50:00+05:30,576.8,590.6,560.0,573.75,2900,21100,,596.4285141445163,0.06,False
20,2021-04-08 10:55:00+05:30,573.75,585.45,563.75,564.05,2375,21425,,592.2298032958453,0.06,False
21,2021-04-08 11:00:00+05:30,564.05,564.9,546.9,564.9,1925,21850,,590.6,0.06,False
22,2021-04-08 11:05:00+05:30,564.9,570.0,557.9,558.0,3525,21925,,586.751,0.06,False
23,2021-04-08 11:10:00+05:30,555.7,575.85,550.3,573.2,5075,24850,,583.13294,0.06,False
24,2021-04-08 11:15:00+05:30,573.7,585.9,562.9,572.0,3875,25650,526.45,,0.06,True
25,2021-04-08 11:20:00+05:30,572.0,572.0,554.45,562.2,2500,25975,530.017,,0.06,False
26,2021-04-08 11:25:00+05:30,562.2,571.9,560.0,567.7,1975,26150,533.36998,,0.06,False
27,2021-04-08 11:30:00+05:30,567.7,570.1,561.9,563.95,800,26775,536.5217812000001,,0.06,False
28,2021-04-08 11:35:00+05:30,563.95,606.25,558.55,592.2,4050,27500,539.484474328,,0.06,False
