,Name,LTQ,callSP,putSP,Time
0,ASIANPAINT,300,3060.0,3140.0,2021-12-02 00:55:40.541228
1,AUBANK,500,1120.0,1120.0,2021-12-02 00:55:50.573591
2,BAJAJ-AUTO,250,3250.0,3220.0,2021-12-02 00:55:56.191475
3,BAJAJFINSV,75,17500.0,13500.0,2021-12-02 00:56:03.192404
4,BAJFINANCE,125,7000.0,8000.0,2021-12-02 00:56:09.912180
5,BALKRISIND,400,2200.0,2300.0,2021-12-02 00:56:16.663955
6,BHARATFORG,1500,700.0,740.0,2021-12-02 00:56:24.659131
7,BOSCHLTD,50,16500.0,13500.0,2021-12-02 00:56:31.739941
8,CUMMINSIND,600,920.0,900.0,2021-12-02 00:56:44.603844
9,DEEPAKNTR,500,2150.0,2300.0,2021-12-02 00:56:50.510050
10,DIVISLAB,200,3900.0,4750.0,2021-12-02 00:56:56.508105
11,DRREDDY,125,3900.0,4600.0,2021-12-02 00:57:07.217061
12,EICHERMOT,350,2440.0,2460.0,2021-12-02 00:57:15.238544
13,GODREJPROP,650,2100.0,1950.0,2021-12-02 00:57:24.397904
14,GRASIM,475,1680.0,1700.0,2021-12-02 00:57:34.539699
15,HAL,475,1300.0,1120.0,2021-12-02 00:57:41.884885
16,HAVELLS,500,1360.0,1380.0,2021-12-02 00:57:47.940525
17,HDFCAMC,200,2550.0,2460.0,2021-12-02 00:57:55.574158
18,IBULHSGFIN,3100,250.0,0.0,2021-12-02 00:58:03.688708
19,IEX,1250,730.0,730.0,2021-12-02 00:58:09.467239
20,INDIGO,500,1900.0,1900.0,2021-12-02 00:58:18.540481
21,KOTAKBANK,400,1960.0,1950.0,2021-12-02 00:58:32.205796
22,LICHSGFIN,2000,375.0,395.0,2021-12-02 00:58:42.056500
23,LT,575,1780.0,1780.0,2021-12-02 00:58:51.151287
24,LTI,150,6900.0,8000.0,2021-12-02 00:59:00.811389
25,LTTS,200,5400.0,5200.0,2021-12-02 00:59:08.928925
26,MARUTI,100,7250.0,8000.0,2021-12-02 00:59:21.057660
27,MCDOWELL-N,1250,880.0,870.0,2021-12-02 00:59:33.314799
28,MFSL,650,960.0,940.0,2021-12-02 00:59:45.686568
29,MGL,600,920.0,920.0,2021-12-02 00:59:53.047004
30,MINDTREE,400,4400.0,4400.0,2021-12-02 01:00:02.187546
31,MPHASIS,325,3000.0,3050.0,2021-12-02 01:00:12.537744
32,NAUKRI,125,5900.0,5500.0,2021-12-02 01:00:22.517090
33,PEL,275,2480.0,2460.0,2021-12-02 01:00:37.855594
34,PERSISTENT,150,4250.0,4200.0,2021-12-02 01:00:46.046797
35,PIIND,250,2950.0,2950.0,2021-12-02 01:00:56.015975
36,POLYCAB,300,2340.0,2300.0,2021-12-02 01:01:01.952006
37,RELIANCE,250,2460.0,2460.0,2021-12-02 01:01:08.969325
38,SHREECEM,25,27500.0,27000.0,2021-12-02 01:01:18.332244
39,SRF,125,2020.0,2020.0,2021-12-02 01:01:24.115062
40,SRTRANSFIN,400,1440.0,1420.0,2021-12-02 01:01:42.761809
41,TATASTEEL,850,1080.0,1120.0,2021-12-02 01:01:51.090803
42,TECHM,600,1580.0,1600.0,2021-12-02 01:01:59.767967
43,TITAN,375,2360.0,2360.0,2021-12-02 01:02:07.482687
44,UBL,700,1500.0,1500.0,2021-12-02 01:02:16.630179
45,VOLTAS,500,1220.0,1220.0,2021-12-02 01:02:26.371819
