,name,ltq,Trade,ltp,high,low,HTH,LTL,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,ABBOTINDIA,25,YES (1st Priority) Momentum trade for 1 day for both CE and PE),18947.6,19319.9,18849.15,Less,LTL,"No sell, but in Short",crossed below,sell,sell,In Short,4583169,2021-12-02 00:55:38.496240
1,APOLLOHOSP,300,YES (2nd priority) for PE Momentum trade for 1 day),5571.0,5765.0,5531.7,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Short,40193,2021-12-02 00:55:39.560203
2,ASIANPAINT,250,YES (1st Priority) Momentum trade for 1 day),3138.15,3199.75,3124.1,Was HTH | 3189.0,No,"No sell, but in Short",crossed below,sell,sell,In Long,60417,2021-12-02 00:55:49.470451
3,AUBANK,500,YES Momentum trade for 1 day),1123.85,1129.0,1096.95,Less,No,"No sell, but in Short",crossed above,buy,buy,In Long,5436929,2021-12-02 00:55:55.267824
4,BAJAJ-AUTO,250,Yes (good for PE trade only),3249.55,3294.2,3227.3,Less,No,"No buy, but in Long",crossed above,buy,sell,In Long,4267265,2021-12-02 00:56:02.257269
5,BAJAJFINSV,125,YES(1st priority ) Momentum trade for 1 day),17382.95,17546.7,17201.0,Was HTH | 17500.0,No,"No buy, but in Long",crossed above,buy,buy,In Long,4268801,2021-12-02 00:56:08.886781
6,BAJFINANCE,75,YES(1st priority ) Momentum trade for 1 day),7038.7,7107.7,6951.0,Less,No,"No buy, but in Long",crossed above,buy,buy,In Long,81153,2021-12-02 00:56:15.390108
7,BALKRISIND,400,YES Momentum trade for 1 day for both CE and PE,2174.7,2216.8,2162.25,Less,No,"No buy, but in Long",crossed below,sell,sell,In Long,85761,2021-12-02 00:56:23.584274
8,BHARATFORG,1500,YES Momentum trade for 1 day),699.85,706.15,688.2,Less,Was LTL | 689.15,"No buy, but in Long",crossed above,buy,buy,In Long,108033,2021-12-02 00:56:30.622626
9,BOSCHLTD,50,YES Momentum trade for 1 day for both CE and PE,16326.45,16396.85,16152.0,Less,No,"No sell, but in Short",crossed above,buy,sell,In Long,558337,2021-12-02 00:56:41.316189
10,BRITANNIA,200,YES (1st priority ) Momentum trade for 1 day),3535.25,3606.7,3528.0,Was HTH | 3565.0,No,"No sell, but in Short",crossed below,sell,sell,In Short,140033,2021-12-02 00:56:42.401342
11,COFORGE,200,YES Momentum trade for 1 day),5378.6,5454.3,5308.1,Less,No,"No buy, but in Long",crossed above,buy,buy,buy,2955009,2021-12-02 00:56:43.433491
12,CUMMINSIND,600,YES Momentum trade for 1 day),915.25,917.9,880.0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,486657,2021-12-02 00:56:48.514277
13,DALBHARAT,250,YES (MONTHLY),1838.1,1904.05,1829.35,Less,LTL,"No sell, but in Short",crossed below,sell,sell,In Short,2067201,2021-12-02 00:56:49.445157
14,DEEPAKNTR,500,YES Momentum trade for 1 day),2151.45,2159.35,2110.3,Was HTH | 2157.3,No,"No buy, but in Long",crossed above,buy,buy,In Long,5105409,2021-12-02 00:56:55.476176
15,DIVISLAB,200,YES (Momentum trade for 1 day),4752.2,4977.8,4725.0,Was HTH | 4949.7,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,2800641,2021-12-02 00:57:05.104874
16,DIXON,125,YES (1st Priority) WEEKLY TRADE,5077.75,5180.65,5051.0,Was HTH | 5175.0,No,"No sell, but in Short",crossed below,sell,sell,In Short,5552641,2021-12-02 00:57:06.232980
17,DRREDDY,125,YES (good for PE trade only),4606.35,4712.4,4590.0,Less,LTL,"No buy, but in Long",crossed above,sell,sell,In Long,225537,2021-12-02 00:57:14.359694
18,EICHERMOT,350,YES (Momentum trade for 1 day),2438.3,2482.45,2385.05,Was HTH | 2447.0,No,"No buy, but in Long",crossed below,sell,sell,In Long,232961,2021-12-02 00:57:22.447068
19,ESCORTS,550,YES (weekly trade),1848.4,1864.4,1831.3,Less,Was LTL | 1836.85,"No sell, but in Short",crossed below,sell,sell,In Short,245249,2021-12-02 00:57:23.375263
20,GODREJPROP,650,YES (1st Priority) Momentum trade for 1 day),1966.5,2031.0,1938.05,Less,Was LTL | 1960.0,"No buy, but in Long",crossed above,buy,buy,In Long,4576001,2021-12-02 00:57:33.278600
21,GRASIM,475,YES (weekly trade),1679.6,1694.4,1653.35,Less,No,"No buy, but in Long",crossed above,buy,buy,In Long,315393,2021-12-02 00:57:40.830888
