,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2
0,2021-05-14 09:15:00+05:30,79.25,84.6,70.3,79.95,345375,402075,0.0,1,,
1,2021-05-14 09:20:00+05:30,79.35,79.6,60.85,62.8,300975,477525,,1,,
2,2021-05-14 09:25:00+05:30,63.05,68.55,59.2,61.4,272175,529050,,1,,
3,2021-05-14 09:30:00+05:30,61.85,61.85,55.0,57.0,395400,564375,,1,,
4,2021-05-14 09:35:00+05:30,56.65,64.55,54.35,61.5,373500,657075,,1,,
5,2021-05-14 09:40:00+05:30,61.9,66.65,60.6,61.65,227100,637875,61.636547807031675,1,61.636547807031675,
6,2021-05-14 09:45:00+05:30,61.7,70.15,58.2,68.35,217275,640200,62.093715332662754,1,62.093715332662754,
7,2021-05-14 09:50:00+05:30,69.05,72.9,67.2,71.85,226950,654075,68.17313837722685,1,68.17313837722685,
8,2021-05-14 09:55:00+05:30,71.45,73.35,66.35,68.85,168825,662250,68.17313837722685,1,68.17313837722685,
9,2021-05-14 10:00:00+05:30,68.75,75.2,66.2,73.8,218475,668100,68.91740382466455,1,68.91740382466455,
10,2021-05-14 10:05:00+05:30,74.15,76.0,68.1,71.2,142350,651525,70.30642111199849,1,70.30642111199849,
11,2021-05-14 10:10:00+05:30,71.65,72.0,62.55,64.1,164925,645225,69.0460651768811,-1,,69.0460651768811
12,2021-05-14 10:15:00+05:30,63.85,69.2,60.3,69.2,237300,666000,62.97729215588043,1,62.97729215588043,
13,2021-05-14 10:20:00+05:30,69.45,69.9,65.9,66.0,130875,694800,66.30310346933837,1,66.30310346933837,
14,2021-05-14 10:25:00+05:30,66.15,66.45,62.2,64.5,169500,720075,65.78877335293065,-1,,65.78877335293065
15,2021-05-14 10:30:00+05:30,64.35,68.95,64.3,67.85,109200,725775,65.25527579267573,1,65.25527579267573,
16,2021-05-14 10:35:00+05:30,67.85,69.3,62.4,62.9,92550,733125,67.22151767693023,-1,,67.22151767693023
17,2021-05-14 10:40:00+05:30,63.1,66.05,62.35,65.85,96900,738375,65.46215703155428,-1,,65.46215703155428
18,2021-05-14 10:45:00+05:30,65.6,66.95,63.6,64.85,58425,727725,65.46215703155428,-1,,65.46215703155428
19,2021-05-14 10:50:00+05:30,65.15,66.7,63.0,63.8,77475,730800,65.93835332225022,-1,,65.93835332225022
20,2021-05-14 10:55:00+05:30,63.85,64.95,62.35,63.0,65775,729525,64.64152299570938,-1,,64.64152299570938
21,2021-05-14 11:00:00+05:30,63.0,64.3,57.95,58.45,193800,725850,62.1637920580507,-1,,62.1637920580507
22,2021-05-14 11:05:00+05:30,58.25,61.15,56.6,58.95,220800,776850,59.89199773102143,-1,,59.89199773102143
23,2021-05-14 11:10:00+05:30,58.95,61.35,56.65,59.0,120300,788025,59.89199773102143,-1,,59.89199773102143
24,2021-05-14 11:15:00+05:30,59.2,61.7,58.1,60.5,128550,788400,58.94383369134946,1,58.94383369134946,
25,2021-05-14 11:20:00+05:30,60.25,60.75,57.15,60.4,94725,824100,58.94383369134946,1,58.94383369134946,
26,2021-05-14 11:25:00+05:30,60.45,63.45,57.75,61.6,143775,821775,59.64601147232474,1,59.64601147232474,
27,2021-05-14 11:30:00+05:30,62.1,62.9,57.45,59.55,118425,828450,61.151795460483356,-1,,61.151795460483356
28,2021-05-14 11:35:00+05:30,59.4,59.5,53.2,54.25,190875,834825,57.3759111766617,-1,,57.3759111766617
29,2021-05-14 11:40:00+05:30,54.25,54.5,51.85,54.4,300375,921750,54.11790965168109,-1,,54.11790965168109
30,2021-05-14 11:45:00+05:30,54.0,55.45,50.8,55.2,243975,935550,52.18424953698056,1,52.18424953698056,
31,2021-05-14 11:50:00+05:30,55.1,57.2,51.55,52.5,184575,941325,53.402615401816256,1,53.402615401816256,
32,2021-05-14 11:55:00+05:30,52.6,53.8,50.0,51.15,229425,963750,52.83690065825979,-1,,52.83690065825979
33,2021-05-14 12:00:00+05:30,50.75,51.15,45.7,46.3,448800,926325,49.387469160116716,-1,,49.387469160116716
34,2021-05-14 12:05:00+05:30,46.1,50.15,45.35,47.45,226575,948975,48.712056935535294,-1,,48.712056935535294
35,2021-05-14 12:10:00+05:30,47.1,50.8,46.1,49.9,161175,959100,47.49162441415129,1,47.49162441415129,
36,2021-05-14 12:15:00+05:30,50.35,53.5,49.0,52.3,203025,990075,50.301365130550536,1,50.301365130550536,
37,2021-05-14 12:20:00+05:30,52.3,53.05,49.05,52.45,119250,992550,50.126161903283524,1,50.126161903283524,
38,2021-05-14 12:25:00+05:30,52.45,53.15,50.1,51.15,140400,976500,50.753510993329044,1,50.753510993329044,
39,2021-05-14 12:30:00+05:30,51.1,53.0,47.4,48.25,145575,990225,51.11293570497406,-1,,51.11293570497406
40,2021-05-14 12:35:00+05:30,48.2,52.0,48.15,50.9,100050,1012800,50.9640995728317,-1,,50.9640995728317
41,2021-05-14 12:40:00+05:30,50.85,54.9,50.35,54.75,178050,1017825,51.73241537600722,1,51.73241537600722,
42,2021-05-14 12:45:00+05:30,54.65,54.65,51.15,54.15,88650,1013550,52.03619080996406,1,52.03619080996406,
43,2021-05-14 12:50:00+05:30,54.15,55.0,52.15,53.2,84675,1003200,52.76017508074368,1,52.76017508074368,
44,2021-05-14 12:55:00+05:30,53.2,54.9,51.65,53.45,144600,1023600,52.76017508074368,1,52.76017508074368,
45,2021-05-14 13:00:00+05:30,53.5,54.8,52.0,53.95,77250,1017000,52.76017508074368,1,52.76017508074368,
46,2021-05-14 13:05:00+05:30,53.9,58.1,51.55,57.45,209325,1026900,53.982109879716184,1,53.982109879716184,
47,2021-05-14 13:10:00+05:30,57.85,59.5,54.0,54.4,219450,1006425,55.86425145143029,1,55.86425145143029,
48,2021-05-14 13:15:00+05:30,54.25,54.55,49.65,52.25,136875,1003350,53.00145919544199,-1,,53.00145919544199
49,2021-05-14 13:20:00+05:30,52.0,54.65,49.8,53.85,125325,1005750,51.312116081728064,1,51.312116081728064,
50,2021-05-14 13:25:00+05:30,53.85,56.75,53.4,56.65,82125,1008900,54.20260044195389,1,54.20260044195389,
51,2021-05-14 13:30:00+05:30,56.55,61.5,55.55,61.25,242550,999675,57.59966299536314,1,57.59966299536314,
52,2021-05-14 13:35:00+05:30,61.5,61.65,52.3,52.3,162000,1006800,58.05779084980576,-1,,58.05779084980576
53,2021-05-14 13:40:00+05:30,52.4,55.8,51.8,52.6,150150,1018500,54.83565654374984,-1,,54.83565654374984
54,2021-05-14 13:45:00+05:30,52.2,56.4,51.95,56.15,101850,1030425,53.163620618960564,1,53.163620618960564,
55,2021-05-14 13:50:00+05:30,55.75,57.0,53.6,56.35,104400,1036875,54.34385254834672,1,54.34385254834672,
56,2021-05-14 13:55:00+05:30,55.8,56.3,47.7,47.7,194475,1039875,53.085126831767276,-1,,53.085126831767276
57,2021-05-14 14:00:00+05:30,48.15,52.0,47.05,51.1,186825,1039200,50.59427195462362,-1,,50.59427195462362
58,2021-05-14 14:05:00+05:30,50.85,55.1,50.1,54.55,139500,1056375,51.542273617026254,1,51.542273617026254,
59,2021-05-14 14:10:00+05:30,54.55,55.8,51.6,53.55,133125,1060650,52.67856199153209,1,52.67856199153209,
60,2021-05-14 14:15:00+05:30,53.65,55.0,51.85,54.05,146475,1117350,52.67856199153209,1,52.67856199153209,
61,2021-05-14 14:20:00+05:30,53.9,55.7,51.15,51.15,120750,1133400,54.37349771805258,-1,,54.37349771805258
62,2021-05-14 14:25:00+05:30,51.1,53.55,49.7,53.1,173325,1149525,52.54374779283764,-1,,52.54374779283764
63,2021-05-14 14:30:00+05:30,53.0,56.45,53.0,55.55,149850,1164900,53.84437716559637,1,53.84437716559637,
64,2021-05-14 14:35:00+05:30,55.5,64.25,55.25,60.75,443700,1127925,58.71614654513689,1,58.71614654513689,
65,2021-05-14 14:40:00+05:30,61.05,62.85,55.4,55.8,160575,1132125,60.23487833090176,-1,,60.23487833090176
66,2021-05-14 14:45:00+05:30,55.8,70.5,55.65,65.9,702300,1020150,61.655099855418925,1,61.655099855418925,
67,2021-05-14 14:50:00+05:30,66.3,68.85,62.55,63.35,390750,913875,64.30674998951119,1,64.30674998951119,
68,2021-05-14 14:55:00+05:30,63.45,65.3,58.65,61.0,242625,891975,63.357708305815905,-1,,63.357708305815905
69,2021-05-14 15:00:00+05:30,61.15,62.9,53.9,57.75,317400,868500,59.852257120856954,-1,,59.852257120856954
70,2021-05-14 15:05:00+05:30,57.85,58.65,54.15,55.7,178350,853725,57.760214047532735,-1,,57.760214047532735
71,2021-05-14 15:10:00+05:30,56.1,57.2,54.15,56.1,172275,838500,56.91017812406675,-1,,56.91017812406675
72,2021-05-14 15:15:00+05:30,56.15,57.9,55.9,57.0,151200,808575,55.80401846083038,1,55.80401846083038,
73,2021-05-14 15:20:00+05:30,57.0,58.7,55.3,57.8,242850,777525,55.97334881319079,1,55.97334881319079,
74,2021-05-14 15:25:00+05:30,58.2,58.55,55.55,56.0,168675,757575,56.094457426234115,1,56.094457426234115,
75,2021-05-17 09:15:00+05:30,72.0,72.0,56.0,62.45,498900,788775,62.67038082945288,1,62.67038082945288,
76,2021-05-17 09:20:00+05:30,62.9,65.6,54.15,60.15,530700,837150,61.36468277015994,-1,,61.36468277015994
77,2021-05-17 09:25:00+05:30,60.05,63.3,55.5,56.9,389325,867750,60.90140231627882,-1,,60.90140231627882
78,2021-05-17 09:30:00+05:30,56.55,62.55,54.95,62.15,384525,907350,57.245498068045826,1,57.245498068045826,
79,2021-05-17 09:35:00+05:30,61.95,67.25,61.95,63.3,403875,862500,63.16958175766589,1,63.16958175766589,
80,2021-05-17 09:40:00+05:30,63.3,68.45,62.55,65.95,341700,872475,64.11131814748855,1,64.11131814748855,
81,2021-05-17 09:45:00+05:30,66.45,69.95,63.5,64.3,321075,874950,65.35276512819429,1,65.35276512819429,
82,2021-05-17 09:50:00+05:30,64.75,66.5,62.9,66.3,165150,883650,65.35276512819429,1,65.35276512819429,
83,2021-05-17 09:55:00+05:30,66.2,67.0,64.1,66.1,198375,893925,64.40039249983464,1,64.40039249983464,
84,2021-05-17 10:00:00+05:30,65.65,74.9,65.35,74.55,464700,876750,68.8486603929523,1,68.8486603929523,
85,2021-05-17 10:05:00+05:30,74.6,76.4,71.45,75.0,428100,852450,72.69638366819208,1,72.69638366819208,
86,2021-05-17 10:10:00+05:30,75.3,83.2,73.1,82.85,493050,849225,76.78948637312014,1,76.78948637312014,
87,2021-05-17 10:15:00+05:30,83.55,88.8,80.65,88.35,727950,765825,83.31957197276468,1,83.31957197276468,
88,2021-05-17 10:20:00+05:30,89.2,90.05,79.15,79.6,455325,745125,86.13452336761132,-1,,86.13452336761132
89,2021-05-17 10:25:00+05:30,79.6,83.35,77.7,82.15,280050,776400,81.99210280130221,-1,,81.99210280130221
90,2021-05-17 10:30:00+05:30,82.6,83.9,76.6,77.0,265800,794625,81.71591900101141,-1,,81.71591900101141
91,2021-05-17 10:35:00+05:30,77.2,87.0,77.0,87.0,322575,802200,80.44506749453568,1,80.44506749453568,
92,2021-05-17 10:40:00+05:30,87.4,90.85,85.3,86.4,446925,789675,86.59422291532144,1,86.59422291532144,
93,2021-05-17 10:45:00+05:30,86.0,87.15,83.05,85.25,178050,804000,86.47064756659475,-1,,86.47064756659475
94,2021-05-17 10:50:00+05:30,85.65,87.7,81.5,81.9,213525,827925,85.94887297150807,-1,,85.94887297150807
95,2021-05-17 10:55:00+05:30,81.9,86.0,81.35,81.85,182475,850050,84.9540608078421,-1,,84.9540608078421
96,2021-05-17 11:00:00+05:30,81.65,85.3,81.35,83.85,166575,864075,84.52255067150102,-1,,84.52255067150102
97,2021-05-17 11:05:00+05:30,84.0,86.0,83.6,84.7,176325,892725,83.72204110916188,1,83.72204110916188,
98,2021-05-17 11:10:00+05:30,84.8,86.0,82.05,82.45,154425,920925,85.0549657416697,-1,,85.0549657416697
99,2021-05-17 11:15:00+05:30,82.7,85.5,80.65,83.65,210750,924375,84.09497145127074,-1,,84.09497145127074
100,2021-05-17 11:20:00+05:30,83.95,87.2,82.6,87.1,274725,932250,83.89669045744205,1,83.89669045744205,
101,2021-05-17 11:25:00+05:30,87.0,88.3,83.9,84.8,304425,949575,85.1172420480407,1,85.1172420480407,
102,2021-05-17 11:30:00+05:30,84.8,87.5,82.9,86.6,227550,953850,85.1172420480407,1,85.1172420480407,
103,2021-05-17 11:35:00+05:30,86.6,89.0,85.65,86.5,266250,973500,86.40308475593811,1,86.40308475593811,
104,2021-05-17 11:40:00+05:30,86.45,87.25,82.95,84.15,210000,1011000,86.01159603666817,-1,,86.01159603666817
105,2021-05-17 11:45:00+05:30,84.25,93.0,83.25,91.35,548775,999975,87.04033663541001,1,87.04033663541001,
106,2021-05-17 11:50:00+05:30,91.55,95.0,89.55,91.4,480075,991050,91.18944719617201,1,91.18944719617201,
107,2021-05-17 11:55:00+05:30,91.2,92.0,87.9,88.2,243525,1012275,90.9912940030657,-1,,90.9912940030657
108,2021-05-17 12:00:00+05:30,88.25,90.55,86.2,88.0,219975,1043775,89.38774500248795,-1,,89.38774500248795
109,2021-05-17 12:05:00+05:30,87.65,93.0,87.65,93.0,259800,1063125,89.3027124979081,1,89.3027124979081,
110,2021-05-17 12:10:00+05:30,93.0,94.85,89.2,92.0,444450,1049925,90.98476041489425,1,90.98476041489425,
111,2021-05-17 12:15:00+05:30,92.25,97.95,90.1,97.2,440625,1038675,92.8964670122923,1,92.8964670122923,
112,2021-05-17 12:20:00+05:30,96.85,98.35,93.0,97.05,379950,1051050,94.55622251025459,1,94.55622251025459,
