,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-07-06 09:15:00+05:30,50.5,52.0,46.45,46.9,6200,240375,0.0,1,,,,48.45,,,0.02,0
1,2021-07-06 09:45:00+05:30,46.9,48.25,46.2,47.25,12300,250375,,1,,,,47.641081081081076,,95.0,0.04,0
2,2021-07-06 10:15:00+05:30,47.25,48.25,47.15,48.25,950,250675,,1,,,,47.65291345329905,,93.048,0.04,0
3,2021-07-06 10:45:00+05:30,48.25,50.1,48.25,49.1,2100,251775,,1,,,,47.79880123743232,,91.17408,0.04,0
4,2021-07-06 11:15:00+05:30,49.1,51.95,48.55,50.45,4350,253775,,1,,,,48.221685971685964,,89.3751168,0.04,0
5,2021-07-06 11:45:00+05:30,50.45,53.2,49.65,53.0,18800,269925,,1,,,,49.78974645786726,,87.648112128,0.04,0
6,2021-07-06 12:15:00+05:30,53.0,53.0,50.45,51.4,1100,270275,,1,,,,49.83362445414847,,85.99018764287999,0.04,0
7,2021-07-06 12:45:00+05:30,51.4,53.0,50.05,52.15,2300,270875,50.527857142857144,1,50.527857142857144,,,49.92446292446292,,84.39858013716479,0.04,0
8,2021-07-06 13:15:00+05:30,52.15,52.65,49.95,52.65,900,271675,50.29102040816326,1,50.29102040816326,,,49.95799319727891,,82.87063693167819,0.04,0
9,2021-07-06 13:45:00+05:30,52.65,54.0,52.0,53.1,1900,271825,52.02087463556851,1,52.02087463556851,,,50.07278978388998,,81.40381145441107,0.04,0
10,2021-07-06 14:15:00+05:30,53.1,53.1,48.0,48.5,4950,273125,51.680678883798414,-1,,51.680678883798414,,50.05452103849597,,79.99565899623462,0.04,0
11,2021-07-06 14:45:00+05:30,48.5,49.5,45.7,45.7,2700,273675,48.78629618611293,-1,,48.78629618611293,,49.91212638770282,,78.64383263638524,0.06,0
12,2021-07-06 15:15:00+05:30,45.7,48.0,45.55,46.5,5200,273725,47.93182530238251,-1,,47.93182530238251,,49.648758169934645,,76.66720267820213,0.08,0
13,2021-07-07 09:15:00+05:30,45.05,46.85,43.15,44.65,4650,274225,46.20299311632787,-1,,46.20299311632787,,44.88333333333333,,74.17782646394596,0.1,0
14,2021-07-07 09:45:00+05:30,44.65,45.65,43.45,45.0,5700,277725,45.70685124256674,-1,,45.70685124256674,,44.78236714975846,,71.07504381755136,0.1,0
15,2021-07-07 10:15:00+05:30,45.0,45.65,43.55,44.0,2850,278225,45.70685124256674,-1,,45.70685124256674,,44.69981060606061,,68.28253943579622,0.1,0
16,2021-07-07 10:45:00+05:30,44.0,46.95,43.05,46.6,6750,281525,43.82435418913464,1,43.82435418913464,,,44.98182957393484,,65.7692854922166,0.12000000000000001,0
17,2021-07-07 11:15:00+05:30,45.5,46.7,45.05,45.5,950,282725,44.77301787640112,1,44.77301787640112,,,45.016746411483254,,63.0429712331506,0.12000000000000001,0
18,2021-07-07 11:45:00+05:30,45.5,46.15,44.2,44.9,1850,283525,44.77301787640112,1,44.77301787640112,,,45.02216117216117,,60.64381468517253,0.12000000000000001,0
19,2021-07-07 12:15:00+05:30,44.9,45.75,44.2,44.35,1000,283625,45.968701152031834,-1,,45.968701152031834,,45.01140350877193,,58.53255692295183,0.12000000000000001,0
20,2021-07-07 12:45:00+05:30,44.35,45.2,43.15,43.65,1450,284025,45.143886701741565,-1,,45.143886701741565,,44.95320767195767,,56.67465009219761,0.12000000000000001,0
21,2021-07-07 13:15:00+05:30,43.65,43.85,43.0,43.0,1950,284075,44.304045744349914,-1,,44.304045744349914,,44.83327194597913,,55.03969208113389,0.14,0
22,2021-07-07 13:45:00+05:30,43.0,43.3,41.7,42.7,5100,285725,43.344896352299926,-1,,43.344896352299926,,44.47483204134367,,53.35413518977515,0.16,0
