,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-28 09:15:00+05:30,106.5,121.4,102.3,117.95,22725,39150,,,0.06,False
1,2021-04-28 09:20:00+05:30,117.95,124.0,116.65,123.5,11475,44325,,,0.06,False
2,2021-04-28 09:25:00+05:30,123.5,125.4,120.5,125.4,6975,42000,,121.4,0.06,True
3,2021-04-28 09:30:00+05:30,125.4,126.3,122.35,123.8,6825,41775,120.5,,0.06,True
4,2021-04-28 09:35:00+05:30,123.8,123.8,118.25,118.25,3675,42525,,126.3,0.06,True
5,2021-04-28 09:40:00+05:30,118.25,121.8,116.25,121.0,7950,44025,,126.3,0.06,False
6,2021-04-28 09:45:00+05:30,121.0,127.6,121.0,126.8,7200,44700,116.25,,0.12,True
7,2021-04-28 09:50:00+05:30,126.8,130.4,125.85,129.9,8325,47400,116.25,,0.06,False
8,2021-04-28 09:55:00+05:30,130.1,130.1,125.0,125.55,9900,49875,117.94800000000001,,0.12,False
9,2021-04-28 10:00:00+05:30,125.55,127.35,125.55,126.7,1650,49650,119.44224000000001,,0.12,False
10,2021-04-28 10:05:00+05:30,126.7,128.95,126.7,127.8,2325,49575,120.75717120000002,,0.12,False
11,2021-04-28 10:10:00+05:30,128.2,129.5,127.0,127.0,6750,47850,121.91431065600001,,0.12,False
12,2021-04-28 10:15:00+05:30,127.0,128.7,124.9,124.9,1650,48000,122.93259337728001,,0.12,False
13,2021-04-28 10:20:00+05:30,124.9,125.65,121.7,123.35,3900,48150,,130.4,0.12,True
14,2021-04-28 10:25:00+05:30,123.35,124.15,118.85,121.0,4500,47925,,129.87800000000001,0.06,False
15,2021-04-28 10:30:00+05:30,121.0,127.05,119.65,126.3,3900,47700,,128.55464,0.12,False
16,2021-04-28 10:35:00+05:30,126.3,126.9,124.8,125.75,1425,47325,,127.3900832,0.12,False
17,2021-04-28 10:40:00+05:30,125.75,131.75,125.75,131.75,4950,47850,118.85,,0.12,True
18,2021-04-28 10:45:00+05:30,132.4,134.25,131.85,133.05,3600,48225,119.624,,0.06,False
19,2021-04-28 10:50:00+05:30,133.05,133.5,129.5,133.5,6750,47925,121.37912,,0.12,False
20,2021-04-28 10:55:00+05:30,133.5,134.0,132.0,132.0,3975,48375,122.9236256,,0.12,False
21,2021-04-28 11:00:00+05:30,132.0,134.0,130.0,132.0,3150,48075,124.28279052799999,,0.12,False
