,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2
0,2021-05-14 09:15:00+05:30,193.8,235.65,193.8,202.45,15975,105300,0.0,1,,
1,2021-05-14 09:20:00+05:30,205.95,251.85,205.0,247.5,25875,111375,,1,,
2,2021-05-14 09:25:00+05:30,247.5,256.1,226.8,246.8,23100,114225,,1,,
3,2021-05-14 09:30:00+05:30,247.85,275.9,247.75,269.4,23325,113850,,1,,
4,2021-05-14 09:35:00+05:30,269.4,275.15,239.95,242.0,18000,110100,,1,,
5,2021-05-14 09:40:00+05:30,242.0,245.5,222.0,234.15,11100,108375,227.20265540910702,1,227.20265540910702,
6,2021-05-14 09:45:00+05:30,235.0,241.75,213.05,217.85,9825,108375,233.7606973356259,-1,,233.7606973356259
7,2021-05-14 09:50:00+05:30,215.1,218.85,203.05,205.2,12525,108750,216.61558743234048,-1,,216.61558743234048
8,2021-05-14 09:55:00+05:30,205.2,215.45,201.85,208.05,12750,109275,213.70663764523687,-1,,213.70663764523687
9,2021-05-14 10:00:00+05:30,208.05,211.6,191.7,195.45,27450,109500,206.4926354958154,-1,,206.4926354958154
10,2021-05-14 10:05:00+05:30,194.85,205.1,191.2,201.1,63150,123375,202.59539975495215,-1,,202.59539975495215
11,2021-05-14 10:10:00+05:30,201.1,220.0,198.65,215.35,23475,118350,204.912526428084,1,204.912526428084,
12,2021-05-14 10:15:00+05:30,215.35,225.0,202.55,202.75,16875,116250,218.20172680578924,-1,,218.20172680578924
13,2021-05-14 10:20:00+05:30,202.15,209.65,200.95,209.65,9450,115950,209.24111648457713,-1,,209.24111648457713
14,2021-05-14 10:25:00+05:30,209.65,221.5,209.45,217.35,8925,117075,211.8067822149558,1,211.8067822149558,
15,2021-05-14 10:30:00+05:30,214.0,214.0,205.0,207.6,6525,117375,212.9570956705455,-1,,212.9570956705455
16,2021-05-14 10:35:00+05:30,207.6,218.0,203.15,218.0,13425,116625,207.20291882010196,1,207.20291882010196,
17,2021-05-14 10:40:00+05:30,217.85,220.95,211.7,212.0,11025,117075,213.21649937568887,1,213.21649937568887,
18,2021-05-14 10:45:00+05:30,212.0,216.65,206.55,216.2,4800,116850,213.21649937568887,1,213.21649937568887,
19,2021-05-14 10:50:00+05:30,216.2,220.0,207.4,217.3,6075,116325,210.8474394088061,1,210.8474394088061,
20,2021-05-14 10:55:00+05:30,217.3,222.0,213.85,219.0,6300,116700,215.28072699440975,1,215.28072699440975,
21,2021-05-14 11:00:00+05:30,219.0,232.1,215.9,231.65,13575,116700,221.2546074908123,1,221.2546074908123,
22,2021-05-14 11:05:00+05:30,231.65,238.0,223.15,231.3,10350,116700,227.7915991758426,1,227.7915991758426,
23,2021-05-14 11:10:00+05:30,231.3,237.05,223.5,230.0,19575,104625,227.7915991758426,1,227.7915991758426,
24,2021-05-14 11:15:00+05:30,230.0,231.75,221.0,225.35,8700,103875,229.04141312644714,-1,,229.04141312644714
25,2021-05-14 11:20:00+05:30,225.35,233.2,224.1,226.4,6900,103950,229.04141312644714,-1,,229.04141312644714
26,2021-05-14 11:25:00+05:30,226.4,231.0,210.6,215.0,7950,104100,223.58531914598134,-1,,223.58531914598134
27,2021-05-14 11:30:00+05:30,215.0,227.4,213.7,223.0,6825,105825,223.32771985527702,-1,,223.32771985527702
28,2021-05-14 11:35:00+05:30,223.0,249.3,223.0,246.65,13425,105750,232.95646473045846,1,232.95646473045846,
29,2021-05-14 11:40:00+05:30,246.65,253.6,242.5,249.7,9300,105750,245.01940703907573,1,245.01940703907573,
30,2021-05-14 11:45:00+05:30,249.7,265.95,249.7,250.0,10800,104775,254.75771037190285,1,254.75771037190285,
31,2021-05-14 11:50:00+05:30,250.0,261.75,239.55,261.3,9150,103800,247.3532540353694,1,247.3532540353694,
32,2021-05-14 11:55:00+05:30,261.3,270.2,251.35,259.0,8400,102450,257.39918560054207,1,257.39918560054207,
33,2021-05-14 12:00:00+05:30,259.0,287.85,259.0,281.35,12375,103275,269.6493423466295,1,269.6493423466295,
34,2021-05-14 12:05:00+05:30,281.35,287.9,267.35,280.5,7500,103275,273.793524122061,1,273.793524122061,
35,2021-05-14 12:10:00+05:30,281.05,285.0,264.0,265.15,2925,101475,278.3929833416153,-1,,278.3929833416153
36,2021-05-14 12:15:00+05:30,265.15,266.6,248.5,253.75,5700,101100,261.39743256428716,-1,,261.39743256428716
37,2021-05-14 12:20:00+05:30,253.75,260.3,248.7,251.0,2400,100950,258.09261081013295,-1,,258.09261081013295
38,2021-05-14 12:25:00+05:30,251.0,257.1,248.4,252.4,2100,101025,256.0335900407183,-1,,256.0335900407183
39,2021-05-14 12:30:00+05:30,252.4,264.15,247.0,264.15,3300,100950,252.26699168574928,1,252.26699168574928,
40,2021-05-14 12:35:00+05:30,264.15,264.15,248.8,250.1,4050,103875,259.7433177580633,-1,,259.7433177580633
41,2021-05-14 12:40:00+05:30,250.1,254.1,237.0,237.15,4800,103875,248.8436100819532,-1,,248.8436100819532
42,2021-05-14 12:45:00+05:30,237.15,247.55,237.15,239.2,2325,103275,245.44126206302386,-1,,245.44126206302386
