,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-07-06 09:15:00+05:30,675.5,680.4,675.5,680.4,550,18975,0.0,1,,,,678.7666666666668,,,0.02,0
1,2021-07-06 09:45:00+05:30,680.4,680.4,675.0,675.0,50,18975,,1,,,,678.6027777777779,675.0,,0.02,1
2,2021-07-06 10:15:00+05:30,675.0,675.0,675.0,675.0,100,18875,,1,,,,678.0880952380953,,680.4,0.02,1
3,2021-07-06 10:45:00+05:30,675.0,675.0,664.9,664.9,300,18875,,1,,,,675.1416666666668,,680.4,0.04,0
4,2021-07-06 11:15:00+05:30,664.9,664.9,647.0,647.0,1300,19925,,1,,,,662.6079710144928,,679.78,0.06,0
5,2021-07-06 11:45:00+05:30,647.0,648.55,638.55,641.0,200,19875,,1,,,,661.0153333333334,,677.8131999999999,0.08,0
6,2021-07-06 12:15:00+05:30,641.0,655.0,641.0,655.0,450,20025,,1,,,,659.3858757062147,,674.6721439999999,0.08,0
7,2021-07-06 12:45:00+05:30,655.0,658.0,649.45,655.0,800,20575,649.9564285714285,1,649.9564285714285,,,658.2688888888889,,671.7823724799999,0.08,0
8,2021-07-06 13:15:00+05:30,655.0,655.0,645.05,645.05,500,20875,653.8237755102041,-1,,653.8237755102041,,657.1039215686275,,669.1237826815999,0.08,0
9,2021-07-06 13:45:00+05:30,645.05,645.3,645.05,645.3,50,21375,648.4453790087463,-1,,648.4453790087463,,656.9656976744187,,666.6778800670719,0.08,0
10,2021-07-06 14:15:00+05:30,645.3,692.0,645.3,692.0,600,21725,663.1782465639317,1,663.1782465639317,,,659.3494897959184,638.55,,0.02,1
11,2021-07-06 14:45:00+05:30,692.0,705.0,680.0,705.0,2300,21825,686.3813541976557,1,686.3813541976557,,,671.2702546296297,639.6189999999999,,0.04,0
12,2021-07-06 15:15:00+05:30,705.0,706.0,691.65,693.9,1800,24325,692.7604464551335,1,692.7604464551335,,,676.4528703703704,642.2342399999999,,0.06,0
13,2021-07-07 09:15:00+05:30,725.0,725.0,687.4,690.0,1700,25625,713.5467601813142,-1,,713.5467601813142,,700.8,646.0601855999998,,0.08,0
14,2021-07-07 09:45:00+05:30,690.0,710.05,690.0,710.05,350,26075,707.4679372982692,-1,,707.4679372982692,,701.2382113821138,652.3753707519999,,0.08,0
15,2021-07-07 10:15:00+05:30,710.05,712.75,704.25,705.15,400,26225,707.4679372982692,-1,,707.4679372982692,,702.2414965986394,658.1853410918399,,0.08,0
16,2021-07-07 10:45:00+05:30,705.15,710.0,699.85,699.85,400,26525,711.3896069946468,-1,,711.3896069946468,,702.3807017543859,663.5305138044927,,0.08,0
17,2021-07-07 11:15:00+05:30,699.85,699.85,694.35,694.35,200,26525,702.955377423983,-1,,702.955377423983,,701.9743169398906,668.4480727001333,,0.08,0
18,2021-07-07 11:45:00+05:30,694.35,694.35,682.75,691.0,550,26625,694.2317520776996,-1,,694.2317520776996,,700.048148148148,672.9722268841226,,0.08,0
19,2021-07-07 12:15:00+05:30,691.0,696.55,691.0,696.55,250,26625,688.5877839334003,1,688.5877839334003,,,699.7008658008657,677.1344487333928,,0.08,0
20,2021-07-07 12:45:00+05:30,696.55,696.55,695.8,695.8,100,26675,691.6859576572002,1,691.6859576572002,,,699.6084388185653,680.9636928347213,,0.08,0
21,2021-07-07 13:15:00+05:30,695.8,695.8,695.8,695.8,0,26675,691.9522494204573,1,691.9522494204573,,,699.6084388185653,684.4865974079436,,0.08,0
22,2021-07-07 13:45:00+05:30,695.8,695.8,674.4,680.3,400,26775,689.6209290681793,-1,,689.6209290681793,,698.127203065134,,725.0,0.02,1
