,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-19 09:15:00+05:30,251.0,297.8,215.65,285.0,1551975,1821150,,,0.06,False
1,2021-04-19 09:20:00+05:30,286.55,320.85,280.0,285.0,759975,1699200,,,0.06,False
2,2021-04-19 09:25:00+05:30,287.5,300.9,275.4,290.75,679125,1541025,,297.8,0.06,True
3,2021-04-19 09:30:00+05:30,292.0,314.85,292.0,309.25,409725,1386300,275.4,,0.06,True
4,2021-04-19 09:35:00+05:30,307.9,321.55,298.3,317.0,255150,1269150,275.4,,0.06,False
5,2021-04-19 09:40:00+05:30,318.0,337.0,308.5,326.4,286050,1190325,280.938,,0.12,False
6,2021-04-19 09:45:00+05:30,328.0,338.9,314.15,323.4,188475,1171425,291.02916,,0.18,False
7,2021-04-19 09:50:00+05:30,322.6,323.5,306.8,321.35,164925,1131150,300.603328,,0.2,False
8,2021-04-19 09:55:00+05:30,322.5,323.35,295.5,297.85,128025,1109100,,338.9,0.2,True
9,2021-04-19 10:00:00+05:30,297.8,318.05,292.5,292.8,108900,1097250,,336.296,0.06,False
10,2021-04-19 10:05:00+05:30,292.8,304.2,275.0,280.5,150825,1095900,,331.04048,0.12,False
11,2021-04-19 10:10:00+05:30,281.05,286.8,253.0,260.3,176850,1103175,,320.9531936,0.18,False
12,2021-04-19 10:15:00+05:30,260.65,292.75,258.0,291.3,176700,1089825,,307.36255488,0.2,False
13,2021-04-19 10:20:00+05:30,292.0,298.65,275.65,282.5,120000,1094475,253.0,,0.2,True
14,2021-04-19 10:25:00+05:30,282.5,282.5,265.95,275.9,43950,1089975,255.739,,0.06,False
15,2021-04-19 10:30:00+05:30,275.9,281.4,245.4,253.15,159375,1092750,,298.65,0.06,True
16,2021-04-19 10:35:00+05:30,254.0,260.95,230.6,236.05,197400,1095525,,295.455,0.06,False
17,2021-04-19 10:40:00+05:30,235.85,259.35,234.65,255.0,113925,1101225,,287.6724,0.12,False
18,2021-04-19 10:45:00+05:30,254.65,263.25,246.35,251.1,107850,1090125,,280.823712,0.12,False
19,2021-04-19 10:50:00+05:30,253.4,256.65,239.65,242.5,66000,1096200,,274.79686656,0.12,False
20,2021-04-19 10:55:00+05:30,241.0,251.8,235.15,241.15,230850,1133250,,269.4932425728,0.12,False
21,2021-04-19 11:00:00+05:30,241.05,252.2,238.2,249.55,159450,1179450,,264.826053464064,0.12,False
22,2021-04-19 11:05:00+05:30,248.55,254.65,237.0,239.5,161925,1164450,,260.7189270483763,0.12,False
23,2021-04-19 11:10:00+05:30,239.5,249.6,237.0,247.8,257700,1199025,,257.10465580257113,0.12,False
24,2021-04-19 11:15:00+05:30,248.1,268.95,248.0,265.8,192675,1188975,230.6,,0.12,True
25,2021-04-19 11:20:00+05:30,266.0,270.9,258.1,267.95,98850,1189125,232.90099999999998,,0.06,False
26,2021-04-19 11:25:00+05:30,266.4,273.95,262.65,268.0,103950,1205325,237.46087999999997,,0.12,False
27,2021-04-19 11:30:00+05:30,268.0,284.8,267.3,282.55,188400,1187250,244.0289216,,0.18,False
28,2021-04-19 11:35:00+05:30,282.35,291.8,278.2,282.0,110850,1131750,252.18313727999998,,0.2,False
29,2021-04-19 11:40:00+05:30,282.0,285.0,267.65,268.35,57750,1125075,260.106509824,,0.2,False
30,2021-04-19 11:45:00+05:30,268.8,276.6,262.6,269.95,43950,1123950,,291.8,0.2,True
31,2021-04-19 11:50:00+05:30,268.75,275.3,263.0,265.25,34425,1116375,,290.048,0.06,False
32,2021-04-19 11:55:00+05:30,265.25,275.15,265.25,274.0,20100,1119975,,288.40112,0.06,False
33,2021-04-19 12:00:00+05:30,274.0,282.45,269.0,271.8,46725,1109925,,286.8530528,0.06,False
34,2021-04-19 12:05:00+05:30,271.8,271.8,257.4,259.2,46950,1111350,,285.397869632,0.06,False
35,2021-04-19 12:10:00+05:30,260.0,275.0,259.2,275.0,32100,1102650,,282.45,0.12,False
36,2021-04-19 12:15:00+05:30,275.45,276.75,266.45,267.65,35175,1098825,,279.44399999999996,0.12,False
37,2021-04-19 12:20:00+05:30,267.65,276.3,266.0,266.7,25425,1095450,,276.79871999999995,0.12,False
38,2021-04-19 12:25:00+05:30,269.05,279.95,264.0,264.1,42825,1091700,257.4,,0.12,True
39,2021-04-19 12:30:00+05:30,264.0,272.25,262.35,271.95,41325,1096200,258.753,,0.06,False
40,2021-04-19 12:35:00+05:30,272.1,275.0,267.2,274.0,33075,1103925,260.02482,,0.06,False
41,2021-04-19 12:40:00+05:30,274.7,281.65,267.0,269.3,38850,1098300,261.2203308,,0.06,False
42,2021-04-19 12:45:00+05:30,269.3,272.2,266.0,271.15,16875,1092300,263.671891104,,0.12,False
43,2021-04-19 12:50:00+05:30,271.9,274.0,266.1,267.45,34650,1091700,265.82926417152,,0.12,False
44,2021-04-19 12:55:00+05:30,267.45,269.6,237.05,249.9,132450,1081575,,281.65,0.12,True
45,2021-04-19 13:00:00+05:30,249.9,252.3,239.2,246.45,63900,1087125,,278.974,0.06,False
46,2021-04-19 13:05:00+05:30,247.8,253.8,243.0,244.55,59700,1103400,,276.45856,0.06,False
47,2021-04-19 13:10:00+05:30,244.3,255.4,240.7,243.85,65550,1114350,,274.09404639999997,0.06,False
48,2021-04-19 13:15:00+05:30,242.5,250.35,234.1,238.65,90675,1131600,,271.87140361599995,0.06,False
49,2021-04-19 13:20:00+05:30,237.6,242.95,223.05,223.75,110175,1145250,,267.33883518207995,0.12,False
50,2021-04-19 13:25:00+05:30,219.2,235.5,217.6,232.3,120975,1142700,,259.36684484930555,0.18,False
51,2021-04-19 13:30:00+05:30,232.3,233.0,212.05,222.65,113400,1141200,,251.01347587944443,0.2,False
52,2021-04-19 13:35:00+05:30,222.65,236.3,222.0,236.3,96675,1144875,,243.22078070355553,0.2,False
53,2021-04-19 13:40:00+05:30,235.8,246.8,233.25,234.9,119925,1131075,212.05,,0.2,True
54,2021-04-19 13:45:00+05:30,233.7,234.4,223.2,228.3,47850,1132800,214.13500000000002,,0.06,False
55,2021-04-19 13:50:00+05:30,228.0,232.9,221.0,227.0,38175,1128150,216.09490000000002,,0.06,False
56,2021-04-19 13:55:00+05:30,226.0,238.75,191.7,206.0,193650,1136550,,246.8,0.06,True
57,2021-04-19 14:00:00+05:30,204.85,207.8,188.55,205.2,234600,1134600,,243.494,0.06,False
58,2021-04-19 14:05:00+05:30,205.6,214.95,201.2,204.75,121200,1122000,,238.75,0.12,False
59,2021-04-19 14:10:00+05:30,204.2,208.75,195.0,206.85,106800,1126500,,232.726,0.12,False
60,2021-04-19 14:15:00+05:30,206.85,224.0,204.4,224.0,122850,1099350,,227.42488,0.12,False
61,2021-04-19 14:20:00+05:30,225.35,227.6,210.45,214.8,89025,1110675,188.55,,0.12,True
62,2021-04-19 14:25:00+05:30,215.1,221.5,207.6,216.0,78375,1111350,190.893,,0.06,False
63,2021-04-19 14:30:00+05:30,216.0,221.1,205.0,214.95,92700,1108875,193.09542,,0.06,False
64,2021-04-19 14:35:00+05:30,214.55,224.2,211.4,215.35,74475,1102350,195.16569479999998,,0.06,False
65,2021-04-19 14:40:00+05:30,215.55,239.7,208.5,235.0,117375,1102650,197.11175311199997,,0.06,False
66,2021-04-19 14:45:00+05:30,235.0,251.05,230.35,238.65,204750,1093575,202.22234273855997,,0.12,False
67,2021-04-19 14:50:00+05:30,239.25,239.25,221.55,229.2,180150,1106400,208.5,,0.18,False
68,2021-04-19 14:55:00+05:30,228.0,235.75,223.0,226.95,239775,1092900,216.159,,0.18,False
69,2021-04-19 15:00:00+05:30,225.7,226.3,198.4,203.1,376200,1038525,,251.05,0.18,True
70,2021-04-19 15:05:00+05:30,203.0,213.45,202.2,205.35,123300,1013400,,247.89100000000002,0.06,False
71,2021-04-19 15:10:00+05:30,204.4,209.35,197.85,204.15,147000,1012200,,244.92154000000002,0.06,False
72,2021-04-19 15:15:00+05:30,203.75,209.25,201.25,201.8,107400,1001700,,239.2729552,0.12,False
73,2021-04-19 15:20:00+05:30,201.2,205.8,195.2,196.4,108750,986700,,234.30220057600002,0.12,False
74,2021-04-19 15:25:00+05:30,197.0,197.75,194.15,195.0,108900,971025,,227.26380447232,0.18,False
