,name,ltq,PCR,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,AARTIIND,850,0.3995,"No buy, but in Long",crossed below,buy,buy,In Short,1793,2021-09-23 12:15:59.656522
1,ABFRL,2600,0.3714,"No sell, but in Short",crossed above,buy,buy,In Long,7707649,2021-09-23 12:16:03.180159
2,ACC,500,0.4328,"No sell, but in Short",crossed below,sell,sell,In Long,5633,2021-09-23 12:16:06.702776
3,ADANIENT,1000,0.5097,"No buy, but in Long",crossed above,buy,buy,In Long,6401,2021-09-23 12:16:07.497237
4,ADANIPORTS,1250,0.5166,"No buy, but in Long",crossed above,buy,buy,In Long,3861249,2021-09-23 12:16:11.022578
5,ALKEM,200,0.2887,"No buy, but in Long",crossed above,buy,buy,In Long,2995969,2021-09-23 12:16:14.556708
6,AMARAJABAT,1000,0.4026,"No buy, but in Long",crossed below,buy,buy,In Short,25601,2021-09-23 12:16:18.091287
7,AMBUJACEM,3000,0.3956,"No buy, but in Long",crossed below,sell,sell,In Short,325121,2021-09-23 12:16:18.897647
8,APLLTD,550,0.3434,"No sell, but in Short",crossed above,buy,sell,In Short,6483969,2021-09-23 12:16:23.043738
9,APOLLOHOSP,250,0.4152,"No buy, but in Long",crossed above,buy,buy,In Long,40193,2021-09-23 12:16:26.677943
10,APOLLOTYRE,2500,0.6114,"No buy, but in Long",crossed above,buy,buy,In Short,41729,2021-09-23 12:16:27.844731
11,ASHOKLEY,4500,0.5888,"No sell, but in Short",crossed above,buy,sell,In Short,54273,2021-09-23 12:16:31.456305
12,ASIANPAINT,300,0.5528,"No buy, but in Long",crossed above,buy,buy,In Short,60417,2021-09-23 12:16:35.007373
13,ASTRAL,275,0.3126,"No sell, but in Short",crossed below,sell,sell,In Short,3691009,2021-09-23 12:16:38.546200
14,AUBANK,500,0.4356,"No sell, but in Short",crossed above,buy,sell,In Short,5436929,2021-09-23 12:16:42.176694
15,AUROPHARMA,650,0.5470,"No sell, but in Short",crossed below,sell,sell,In Short,70401,2021-09-23 12:16:45.760441
16,AXISBANK,1200,0.4630,"No buy, but in Long",crossed above,buy,buy,In Long,1510401,2021-09-23 12:16:46.563289
17,BAJAJ-AUTO,250,0.4330,"No buy, but in Long",crossed above,buy,buy,In Long,4267265,2021-09-23 12:16:50.105611
18,BAJAJFINSV,75,1.0214,"No buy, but in Long",crossed above,buy,buy,In Long,4268801,2021-09-23 12:16:51.024931
19,BAJFINANCE,125,0.9402,"No buy, but in Long",crossed above,buy,buy,In Long,81153,2021-09-23 12:16:54.620443
20,BALKRISIND,400,0.9996,"No sell, but in Short",crossed below,sell,sell,In Short,85761,2021-09-23 12:16:58.211144
21,BANDHANBNK,1800,0.5492,"No buy, but in Long",crossed above,buy,buy,In Long,579329,2021-09-23 12:16:59.322855
22,BANKBARODA,11700,0.5115,"No sell, but in Short",crossed above,buy,sell,In Long,1195009,2021-09-23 12:17:02.830669
23,BATAINDIA,550,0.3886,"No sell, but in Short",crossed above,buy,sell,In Short,94977,2021-09-23 12:17:06.353043
24,BEL,3800,0.5726,"No sell, but in Short",crossed above,buy,sell,In Short,98049,2021-09-23 12:17:09.896628
25,BERGEPAINT,1100,0.3715,"No sell, but in Short",crossed above,buy,sell,In Short,103425,2021-09-23 12:17:13.406997
26,BHARATFORG,1500,0.4112,"No sell, but in Short",crossed above,buy,sell,In Short,108033,2021-09-23 12:17:17.019877
27,BHARTIARTL,1851,0.5059,"No sell, but in Short",crossed above,buy,buy,In Long,2714625,2021-09-23 12:17:20.544959
28,BHEL,10500,0.5203,"No sell, but in Short",crossed above,buy,sell,In Short,112129,2021-09-23 12:17:21.710375
29,BIOCON,2300,0.4802,"No sell, but in Short",crossed below,buy,sell,In Short,2911489,2021-09-23 12:17:25.322324
30,BOSCHLTD,50,0.3116,"No buy, but in Long",crossed above,buy,sell,In Short,558337,2021-09-23 12:17:26.433621
31,BPCL,1800,0.3324,"No buy, but in Long",crossed below,sell,sell,In Short,134657,2021-09-23 12:17:30.211579
32,BRITANNIA,200,0.3187,"No sell, but in Short",crossed below,sell,sell,In Short,140033,2021-09-23 12:17:31.156432
33,CADILAHC,2200,0.4308,"No sell, but in Short",crossed above,buy,sell,In Long,2029825,2021-09-23 12:17:34.720735
34,CANBK,5400,0.4820,"No sell, but in Short",crossed above,buy,buy,In Long,2763265,2021-09-23 12:17:38.410549
35,CANFINHOME,975,0.4763,"No sell, but in Short",crossed above,buy,buy,In Long,149249,2021-09-23 12:17:41.986554
36,CHOLAFIN,1250,0.4031,"No buy, but in Long",crossed above,buy,buy,In Long,175361,2021-09-23 12:17:45.582155
37,CIPLA,650,0.5917,"No sell, but in Short",crossed below,sell,sell,In Short,177665,2021-09-23 12:17:49.243603
38,COALINDIA,4200,0.6446,"No sell, but in Short",crossed above,buy,sell,In Short,5215745,2021-09-23 12:17:52.924388
39,COFORGE,200,0.7434,"No buy, but in Long",crossed below,sell,sell,In Short,2955009,2021-09-23 12:17:56.556477
40,COLPAL,350,0.3140,"No sell, but in Short",crossed below,sell,sell,In Short,3876097,2021-09-23 12:18:00.148103
41,CONCOR,1563,0.3887,"No sell, but in Short",crossed above,buy,sell,In Short,1215745,2021-09-23 12:18:03.738298
42,COROMANDEL,625,0.2881,"No sell, but in Short",crossed below,sell,sell,In Short,189185,2021-09-23 12:18:07.286213
43,CUB,3100,0.3969,"No buy, but in Long",crossed above,buy,buy,In Short,1459457,2021-09-23 12:18:10.217778
44,CUMMINSIND,600,0.3380,"No buy, but in Long",crossed below,buy,buy,In Short,486657,2021-09-23 12:18:11.558378
45,DABUR,1250,0.4063,"No sell, but in Short",crossed below,sell,sell,In Long,197633,2021-09-23 12:18:16.503103
46,DEEPAKNTR,500,0.5795,"No buy, but in Long",crossed above,buy,buy,In Long,5105409,2021-09-23 12:18:20.127251
47,DIVISLAB,125,0.4627,"No buy, but in Long",crossed above,buy,buy,In Long,2800641,2021-09-23 12:18:23.834868
48,DIXON,200,0.3051,"No buy, but in Long",crossed above,buy,buy,In Long,5552641,2021-09-23 12:18:27.551364
49,DLF,3300,0.7153,"No sell, but in Short",crossed above,buy,sell,In Short,3771393,2021-09-23 12:18:31.176478
50,DRREDDY,125,0.5252,"No sell, but in Short",crossed below,sell,sell,In Short,225537,2021-09-23 12:18:34.930626
51,EICHERMOT,350,0.3677,"No sell, but in Short",crossed above,buy,sell,In Short,232961,2021-09-23 12:18:38.667499
52,ESCORTS,550,0.8649,"No buy, but in Long",crossed below,buy,sell,In Short,245249,2021-09-23 12:18:39.472628
53,EXIDEIND,3600,0.3647,"No sell, but in Short",crossed above,buy,sell,In Short,173057,2021-09-23 12:18:43.163964
54,FEDERALBNK,10000,0.4733,"No buy, but in Long",crossed above,buy,sell,In Short,261889,2021-09-23 12:18:46.818240
55,GAIL,6100,0.4830,"No sell, but in Short",crossed above,buy,sell,In Short,1207553,2021-09-23 12:18:47.996458
56,GLENMARK,1150,0.5466,"No sell, but in Short",crossed below,sell,sell,In Short,1895937,2021-09-23 12:18:51.617896
57,GMRINFRA,22500,0.6230,"No buy, but in Long",crossed below,sell,sell,In Short,3463169,2021-09-23 12:18:52.321128
58,GODREJCP,1000,0.3496,"No buy, but in Long",crossed below,sell,sell,In Long,2585345,2021-09-23 12:18:56.034881
59,GODREJPROP,650,0.5687,"No buy, but in Long",crossed above,buy,buy,In Short,4576001,2021-09-23 12:18:56.924718
60,GRANULES,1550,0.2941,"No sell, but in Short",crossed below,sell,sell,In Short,3039233,2021-09-23 12:18:58.168039
61,GRASIM,475,0.4322,"No sell, but in Short",crossed above,buy,buy,In Short,315393,2021-09-23 12:18:59.443690
62,GUJGASLTD,1250,0.2711,"No buy, but in Long",crossed above,buy,buy,In Short,2713345,2021-09-23 12:19:03.089493
63,HAL,475,0.4368,"No sell, but in Short",crossed above,buy,sell,In Short,589569,2021-09-23 12:19:06.643839
64,HAVELLS,500,0.6371,"No sell, but in Short",crossed above,buy,sell,In Short,2513665,2021-09-23 12:19:07.388869
65,HCLTECH,700,0.6654,"No buy, but in Long",crossed above,buy,buy,In Long,1850625,2021-09-23 12:19:08.489401
66,HDFC,300,0.3859,"No buy, but in Long",crossed above,buy,buy,In Long,340481,2021-09-23 12:19:12.151834
67,HDFCAMC,200,0.3007,"No sell, but in Short",crossed above,buy,sell,In Short,1086465,2021-09-23 12:19:15.870885
68,HDFCBANK,550,0.4148,"No buy, but in Long",crossed above,buy,buy,In Long,341249,2021-09-23 12:19:19.355593
69,HDFCLIFE,1100,0.4506,"No sell, but in Short",crossed below,sell,sell,In Short,119553,2021-09-23 12:19:20.616817
