,name,ltq,ltp,high,low,PCR,HTH,LTL,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,AARTIIND,850,932.5,948.45,924.1,0.3094,Was HTH | 939.95,No,"No buy, but in Long",crossed below,sell,sell,In Short,1793,2021-09-28 16:52:44.672108
1,ABFRL,2600,223.5,229.5,220.55,0.4330,Less,Was LTL | 221.0,"No buy, but in Long",crossed below,sell,sell,In Short,7707649,2021-09-28 16:52:45.702714
2,ACC,500,2300.25,2357.9,2286.05,0.3764,Was HTH | 2346.75,Was LTL | 2286.5,"No buy, but in Long",crossed below,sell,sell,In Long,5633,2021-09-28 16:52:47.229652
3,ADANIENT,1000,1487.3,1557.0,1475.0,0.4359,Was HTH | 1544.0,No,"No buy, but in Long",crossed below,sell,sell,In Long,6401,2021-09-28 16:52:48.303393
4,ADANIPORTS,1250,738.7,756.9,733.0,0.4247,Was HTH | 753.8,Was LTL | 736.4,"No sell, but in Short",crossed below,sell,sell,In Long,3861249,2021-09-28 16:52:49.358254
5,ALKEM,200,3936.3,4018.0,3875.75,0.6065,Less,LTL,"No buy, but in Long",crossed below,buy,buy,In Long,2995969,2021-09-28 16:52:50.447692
6,AMARAJABAT,1000,753.35,774.9,750.0,0.4331,Was HTH | 764.9,No,"No sell, but in Short",crossed below,sell,sell,In Long,25601,2021-09-28 16:52:51.606651
7,AMBUJACEM,3000,413.1,424.5,411.2,0.3896,Was HTH | 420.0,No,"No sell, but in Short",crossed below,sell,sell,In Short,325121,2021-09-28 16:52:52.910927
8,APLLTD,550,781.35,798.8,775.05,0.4251,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,6483969,2021-09-28 16:52:54.260703
9,APOLLOHOSP,250,4411.05,4629.55,4376.2,0.2730,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,40193,2021-09-28 16:52:56.207688
10,APOLLOTYRE,2500,226.4,234.3,225.5,0.5324,Less,Was LTL | 225.95,"No sell, but in Short",crossed below,sell,sell,In Long,41729,2021-09-28 16:52:57.232342
11,ASHOKLEY,4500,129.65,132.15,128.2,0.6002,Was HTH | 131.95,No,"No buy, but in Long",crossed below,sell,sell,In Long,54273,2021-09-28 16:52:58.757254
12,ASIANPAINT,300,3379.7,3429.2,3352.9,0.6295,Less,LTL,"No buy, but in Long",crossed below,buy,buy,In Long,60417,2021-09-28 16:52:59.831929
13,ASTRAL,275,2104.05,2110.1,2055.25,0.3060,Less,No,"No buy, but in Long",crossed above,buy,buy,In Long,3691009,2021-09-28 16:53:00.846679
14,AUBANK,500,1127.6,1143.2,1106.65,0.4646,Was HTH | 1134.0,No,"No buy, but in Long",crossed below,sell,sell,In Short,5436929,2021-09-28 16:53:01.966732
15,AUROPHARMA,650,725.05,730.65,709.65,0.5477,HTH,Was LTL | 714.0,"No buy, but in Long",crossed below,buy,buy,In Long,70401,2021-09-28 16:53:03.093438
16,AXISBANK,1200,789.2,805.6,778.0,0.3524,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,1510401,2021-09-28 16:53:04.175733
17,BAJAJ-AUTO,250,3908.7,3944.8,3875.6,0.5351,Was HTH | 3924.8,No,"No buy, but in Long",crossed below,buy,buy,In Long,4267265,2021-09-28 16:53:05.521961
18,BAJAJFINSV,75,17550.35,18186.0,17440.0,0.6310,Less,LTL,"No sell, but in Short",crossed below,sell,sell,In Long,4268801,2021-09-28 16:53:06.924693
19,BAJFINANCE,125,7543.3,7824.9,7426.8,0.6254,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,81153,2021-09-28 16:53:08.001108
20,BALKRISIND,400,2545.95,2638.35,2511.8,0.5012,Less,LTL,"No buy, but in Long",crossed below,sell,buy,In Long,85761,2021-09-28 16:53:09.622590
21,BANDHANBNK,1800,286.65,287.4,282.6,0.4788,Less,Was LTL | 283.0,"No buy, but in Long",crossed above,buy,buy,In Long,579329,2021-09-28 16:53:10.740253
22,BANKBARODA,11700,79.45,79.7,78.2,0.5209,Was HTH | 79.6,No,"No buy, but in Long",crossed below,buy,buy,In Long,1195009,2021-09-28 16:53:11.691333
23,BATAINDIA,550,1767.85,1813.0,1742.85,0.3075,Less,Was LTL | 1766.0,"No buy, but in Long",crossed below,sell,sell,In Long,94977,2021-09-28 16:53:12.776376
24,BEL,3800,210.35,212.4,204.25,0.6815,HTH,No,"No sell, but in Short",crossed above,buy,buy,In Short,98049,2021-09-28 16:53:13.856883
25,BERGEPAINT,1100,819.3,830.5,815.0,0.2772,Less,LTL,"No buy, but in Long",crossed below,sell,sell,In Long,103425,2021-09-28 16:53:14.967729
26,BHARATFORG,1500,755.9,790.05,751.05,0.3679,Was HTH | 785.8,No,"No buy, but in Long",crossed below,sell,sell,In Long,108033,2021-09-28 16:53:16.054640
