,name,ltq,PCR,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,ABFRL,1000,0.3634,"No sell, but in Short",crossed above,buy,sell,In Short,7707649,2021-09-23 13:10:09.492496
1,ADANIENT,2600,0.5136,"No buy, but in Long",crossed above,buy,buy,In Long,6401,2021-09-23 13:10:10.872179
2,BATAINDIA,550,0.3871,"No sell, but in Short",crossed below,buy,sell,In Short,94977,2021-09-23 13:10:12.177692
3,DIXON,125,0.2579,"No buy, but in Long",crossed above,buy,buy,In Long,5552641,2021-09-23 13:10:13.517884
4,GODREJCP,1000,0.3510,"No buy, but in Long",crossed above,sell,sell,In Long,2585345,2021-09-23 13:10:14.391750
5,HAVELLS,500,0.6371,"No sell, but in Short",crossed below,buy,sell,In Short,2513665,2021-09-23 13:10:15.564806
6,PEL,300,0.4140,"No sell, but in Short",crossed above,buy,sell,In Short,617473,2021-09-23 13:10:19.472074
7,POLYCAB,275,0.2544,"No sell, but in Short",crossed above,buy,sell,In Long,2455041,2021-09-23 13:10:23.477238
8,SYNGENE,850,0.2912,"No buy, but in Long",crossed below,sell,sell,In Short,2622209,2021-09-23 13:10:25.268391
9,TATACONSUM,1350,0.4241,"No sell, but in Short",crossed below,sell,sell,In Short,878593,2021-09-23 13:10:26.109430
10,TITAN,375,0.7810,"No sell, but in Short",crossed above,buy,buy,In Long,897537,2021-09-23 13:10:27.212370
11,TRENT,725,0.2490,"No sell, but in Short",crossed above,buy,buy,In Short,502785,2021-09-23 13:10:28.708546
12,VOLTAS,500,0.9008,"No sell, but in Short",crossed below,buy,sell,In Short,951809,2021-09-23 13:10:29.831001
