,name,ltq,PCR,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,AMARAJABAT,1000,0.3940,"No buy, but in Long",crossed below,buy,buy,In Short,25601,2021-09-23 13:08:24.841237
1,APOLLOTYRE,2500,0.6590,"No buy, but in Long",crossed above,buy,buy,In Long,41729,2021-09-23 13:08:25.999155
2,ASHOKLEY,4500,0.5808,"No sell, but in Short",crossed below,buy,sell,In Short,54273,2021-09-23 13:08:30.070785
3,BAJAJ-AUTO,250,0.4301,"No buy, but in Long",crossed above,buy,buy,In Long,4267265,2021-09-23 13:08:33.960505
4,BALKRISIND,400,1.0038,"No sell, but in Short",crossed below,sell,sell,In Long,85761,2021-09-23 13:08:35.398342
5,BHARATFORG,1500,0.4126,"No buy, but in Long",crossed above,buy,sell,In Short,108033,2021-09-23 13:08:39.360834
6,BOSCHLTD,50,0.3088,"No sell, but in Short",crossed below,sell,sell,In Short,558337,2021-09-23 13:08:40.819081
7,EICHERMOT,350,0.3665,"No sell, but in Short",crossed below,buy,sell,In Short,232961,2021-09-23 13:08:41.993642
8,ESCORTS,3600,0.8666,"No buy, but in Long",crossed below,buy,sell,In Short,245249,2021-09-23 13:08:43.022148
9,EXIDEIND,550,0.3644,"No sell, but in Short",crossed below,sell,sell,In Short,173057,2021-09-23 13:08:43.966732
10,HEROMOTOCO,300,0.5509,"No sell, but in Short",crossed below,sell,sell,In Short,345089,2021-09-23 13:08:45.377341
11,M&M,10,0.4363,"No buy, but in Long",crossed above,buy,buy,In Short,519937,2021-09-23 13:08:46.898361
12,MARUTI,700,0.4488,"No buy, but in Long",crossed below,buy,sell,In Short,2815745,2021-09-23 13:08:48.285848
13,MRF,100,0.2173,"No sell, but in Short",crossed above,buy,sell,In Short,582913,2021-09-23 13:08:49.695434
14,TATAMOTORS,1400,0.5389,"No buy, but in Long",crossed above,buy,buy,In Long,884737,2021-09-23 13:08:53.508587
15,TVSMOTOR,2850,0.4400,"No buy, but in Long",crossed below,buy,buy,In Long,2170625,2021-09-23 13:08:54.860134
