,name,ltq,PCR,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,BRITANNIA,200,0.3134,"No sell, but in Short",crossed below,sell,sell,In Short,140033,2021-09-23 13:08:59.139416
1,COLPAL,350,0.3158,"No sell, but in Short",crossed below,sell,sell,In Short,3876097,2021-09-23 13:09:00.451740
2,DABUR,1250,0.4037,"No sell, but in Short",crossed below,sell,sell,In Short,197633,2021-09-23 13:09:03.761057
3,GODREJCP,1000,0.3510,"No sell, but in Short",crossed above,sell,sell,In Long,2585345,2021-09-23 13:09:04.951733
4,HINDUNILVR,300,0.5634,"No sell, but in Short",crossed above,buy,sell,In Short,356865,2021-09-23 13:09:06.351288
5,ITC,3200,0.6011,"No sell, but in Short",crossed below,sell,sell,In Short,424961,2021-09-23 13:09:07.820298
6,JUBLFOOD,250,0.4278,"No buy, but in Long",crossed above,buy,buy,In Long,4632577,2021-09-23 13:09:09.129561
7,MARICO,2000,0.4366,"No sell, but in Short",crossed below,sell,sell,In Short,1041153,2021-09-23 13:09:10.610665
8,MCDOWELL-N,50,0.5371,"No buy, but in Long",crossed above,buy,buy,In Long,2674433,2021-09-23 13:09:11.943375
9,NESTLEIND,1350,0.2936,"No sell, but in Short",crossed below,sell,sell,In Short,4598529,2021-09-23 13:09:15.931797
10,TATACONSUM,700,0.4241,"No sell, but in Short",crossed below,sell,sell,In Short,878593,2021-09-23 13:09:20.001426
11,UBL,1250,0.3485,"No sell, but in Short",crossed above,buy,buy,In Short,4278529,2021-09-23 13:09:23.920635
