,date,open,high,low,close,volume,oi,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-14 09:15:00+05:30,12.0,12.5,10.25,10.75,40800,2139450,0.0,1,,
1,2021-05-14 09:16:00+05:30,11.2,11.45,10.5,11.45,61200,2139450,,1,,
2,2021-05-14 09:17:00+05:30,11.6,12.0,11.3,11.5,56950,2153050,,1,,
3,2021-05-14 09:18:00+05:30,11.5,12.35,11.5,12.0,45050,2153050,,1,,
4,2021-05-14 09:19:00+05:30,12.2,12.5,11.9,11.95,28900,2153050,,1,,
5,2021-05-14 09:20:00+05:30,11.95,11.95,10.2,10.5,71400,2183650,,1,,
6,2021-05-14 09:21:00+05:30,10.4,10.4,8.45,8.5,67150,2183650,9.020132393438644,1,9.020132393438644,
7,2021-05-14 09:22:00+05:30,8.6,8.85,7.7,7.75,100300,2183650,8.667798741060686,-1,,8.667798741060686
8,2021-05-14 09:23:00+05:30,7.95,8.2,7.35,7.65,108800,2187050,8.141560643047207,-1,,8.141560643047207
9,2021-05-14 09:24:00+05:30,7.55,7.55,6.75,7.2,85850,2187050,7.499009242158316,-1,,7.499009242158316
10,2021-05-14 09:25:00+05:30,7.2,7.95,7.0,7.7,101150,2187050,7.137189701263139,1,7.137189701263139,
11,2021-05-14 09:26:00+05:30,7.85,8.6,7.85,8.55,60350,2130950,7.898684669861895,1,7.898684669861895,
12,2021-05-14 09:27:00+05:30,8.6,8.6,7.7,7.7,46750,2130950,8.467016841371793,-1,,8.467016841371793
13,2021-05-14 09:28:00+05:30,7.7,8.65,7.7,8.5,39100,2130950,7.863154508143246,1,7.863154508143246,
14,2021-05-14 09:29:00+05:30,8.4,8.4,7.8,7.8,21250,2142850,8.395696817071341,-1,,8.395696817071341
15,2021-05-14 09:30:00+05:30,7.8,7.95,7.5,7.65,58650,2142850,7.995610583926219,-1,,7.995610583926219
16,2021-05-14 09:31:00+05:30,7.7,7.85,7.25,7.5,42500,2142850,7.806650447465615,-1,,7.806650447465615
17,2021-05-14 09:32:00+05:30,7.6,7.6,7.0,7.2,30600,2161550,7.544972030812156,-1,,7.544972030812156
18,2021-05-14 09:33:00+05:30,7.2,7.6,7.2,7.5,26350,2161550,7.544972030812156,-1,,7.544972030812156
19,2021-05-14 09:34:00+05:30,7.5,7.5,6.75,7.15,47600,2161550,7.350944317777819,-1,,7.350944317777819
20,2021-05-14 09:35:00+05:30,7.1,7.1,6.05,6.1,51000,2198100,6.816417110900804,-1,,6.816417110900804
21,2021-05-14 09:36:00+05:30,6.1,6.7,5.8,5.8,34850,2198100,6.495642630264183,-1,,6.495642630264183
22,2021-05-14 09:37:00+05:30,6.0,6.6,6.0,6.45,73950,2198100,6.495642630264183,-1,,6.495642630264183
23,2021-05-14 09:38:00+05:30,6.5,6.65,6.35,6.55,47600,2191300,6.277864364354614,1,6.277864364354614,
24,2021-05-14 09:39:00+05:30,6.5,6.85,6.45,6.75,38250,2191300,6.442771190075924,1,6.442771190075924,
25,2021-05-14 09:40:00+05:30,6.55,7.0,6.55,6.95,30600,2191300,6.578280559282324,1,6.578280559282324,
26,2021-05-14 09:41:00+05:30,7.0,7.5,7.0,7.25,98600,2202350,7.057883601766723,1,7.057883601766723,
27,2021-05-14 09:42:00+05:30,7.2,7.5,7.2,7.4,31450,2202350,7.172669048288168,1,7.172669048288168,
28,2021-05-14 09:43:00+05:30,7.5,7.75,7.4,7.4,21250,2202350,7.408121651409456,1,7.408121651409456,
29,2021-05-14 09:44:00+05:30,7.6,7.6,7.1,7.2,16150,2198100,7.514443271830012,-1,,7.514443271830012
30,2021-05-14 09:45:00+05:30,7.1,7.25,6.85,7.2,55250,2198100,7.208040403028812,-1,,7.208040403028812
31,2021-05-14 09:46:00+05:30,7.2,7.65,7.2,7.55,17000,2198100,7.270274974192581,1,7.270274974192581,
32,2021-05-14 09:47:00+05:30,7.55,8.0,7.5,8.0,23800,2194700,7.595954173081664,1,7.595954173081664,
33,2021-05-14 09:48:00+05:30,8.2,8.2,7.8,7.9,31450,2194700,7.850843749562293,1,7.850843749562293,
34,2021-05-14 09:49:00+05:30,7.9,8.0,7.8,7.95,15300,2194700,7.850843749562293,1,7.850843749562293,
35,2021-05-14 09:50:00+05:30,7.95,8.5,7.9,7.9,26350,2196400,8.057380015597916,1,8.057380015597916,
36,2021-05-14 09:51:00+05:30,7.95,8.15,7.8,7.85,17850,2196400,8.11222772298453,-1,,8.11222772298453
37,2021-05-14 09:52:00+05:30,7.9,7.9,7.75,7.75,12750,2196400,7.9490145743058065,-1,,7.9490145743058065
38,2021-05-14 09:53:00+05:30,7.85,8.15,7.8,8.15,8500,2198950,7.851560344565823,1,7.851560344565823,
39,2021-05-14 09:54:00+05:30,8.35,8.45,8.3,8.35,15300,2198950,8.256347489099337,1,8.256347489099337,
40,2021-05-14 09:55:00+05:30,8.35,8.65,8.3,8.6,34850,2198950,8.358301364038443,1,8.358301364038443,
41,2021-05-14 09:56:00+05:30,8.4,8.5,7.9,8.3,39950,2181100,8.330047994095837,-1,,8.330047994095837
42,2021-05-14 09:57:00+05:30,8.3,8.65,8.2,8.5,26350,2181100,8.294243639907402,1,8.294243639907402,
43,2021-05-14 09:58:00+05:30,8.5,8.65,8.45,8.45,27200,2181100,8.429363159705064,1,8.429363159705064,
44,2021-05-14 09:59:00+05:30,8.45,8.7,8.45,8.7,17000,2159850,8.46088904751302,1,8.46088904751302,
45,2021-05-14 10:00:00+05:30,8.7,8.7,8.5,8.6,18700,2159850,8.493625625224356,1,8.493625625224356,
46,2021-05-14 10:01:00+05:30,8.6,8.7,8.5,8.65,16150,2159850,8.500255267320812,1,8.500255267320812,
47,2021-05-14 10:02:00+05:30,8.8,9.1,8.15,9.05,19550,2149650,8.49877402997673,1,8.49877402997673,
