,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-05-03 09:15:00+05:30,49.0,50.9,48.25,50.0,69700,80750,,,0.06,False
1,2021-05-03 09:20:00+05:30,49.7,51.4,45.1,45.1,74800,89250,,,0.06,False
2,2021-05-03 09:25:00+05:30,45.1,46.0,43.4,45.65,36550,84150,,50.9,0.06,True
3,2021-05-03 09:30:00+05:30,45.65,45.65,42.55,42.55,26350,82450,,51.4,0.06,False
4,2021-05-03 09:35:00+05:30,42.55,42.9,41.25,41.75,15300,83300,,50.338,0.12,False
5,2021-05-03 09:40:00+05:30,41.9,41.95,41.35,41.5,16150,85850,,48.70216,0.18,False
6,2021-05-03 09:45:00+05:30,41.5,43.2,41.5,43.2,17000,90950,,47.3607712,0.18,False
7,2021-05-03 09:50:00+05:30,43.2,44.55,43.1,43.85,18700,91800,,46.260832384000004,0.18,False
8,2021-05-03 09:55:00+05:30,43.5,45.0,43.1,44.4,31450,92650,,45.358882554880005,0.18,False
9,2021-05-03 10:00:00+05:30,44.4,44.4,42.5,42.5,12750,95200,,45.0,0.18,False
10,2021-05-03 10:05:00+05:30,42.5,42.5,42.2,42.2,850,91800,,45.0,0.18,False
11,2021-05-03 10:10:00+05:30,42.2,42.4,41.25,41.25,10200,92650,,44.4,0.18,False
12,2021-05-03 10:15:00+05:30,41.25,41.45,40.6,41.45,11900,96050,,43.833,0.18,False
13,2021-05-03 10:20:00+05:30,41.45,42.7,41.45,42.7,5950,101150,,43.1864,0.2,False
14,2021-05-03 10:25:00+05:30,42.7,43.3,42.7,42.85,3400,100300,40.6,,0.2,True
15,2021-05-03 10:30:00+05:30,42.85,42.85,42.1,42.7,3400,99450,40.762,,0.06,False
16,2021-05-03 10:35:00+05:30,42.7,43.65,42.7,43.6,3400,100300,40.91428,,0.06,False
17,2021-05-03 10:40:00+05:30,43.6,43.6,40.75,41.4,5100,98600,,43.65,0.12,True
18,2021-05-03 10:45:00+05:30,41.4,41.4,39.2,40.05,18700,102850,,43.65,0.06,False
19,2021-05-03 10:50:00+05:30,40.05,40.6,39.5,39.5,4250,102850,,43.6,0.12,False
20,2021-05-03 10:55:00+05:30,39.5,39.5,38.65,39.05,5950,96900,,43.072,0.12,False
21,2021-05-03 11:00:00+05:30,39.05,40.95,39.05,40.55,5950,99450,,42.27604,0.18,False
22,2021-05-03 11:05:00+05:30,40.55,41.05,40.55,40.8,1700,100300,,41.6233528,0.18,False
23,2021-05-03 11:10:00+05:30,40.8,41.9,40.8,41.45,6800,102850,38.65,,0.18,True
24,2021-05-03 11:15:00+05:30,41.45,42.0,40.5,41.7,6800,101150,38.845,,0.06,False
25,2021-05-03 11:20:00+05:30,41.7,42.0,41.7,42.0,850,101150,39.2236,,0.12,False
26,2021-05-03 11:25:00+05:30,42.0,42.0,41.65,41.65,850,101150,39.556768,,0.12,False
27,2021-05-03 11:30:00+05:30,41.65,41.65,41.4,41.4,850,102000,39.84995584,,0.12,False
28,2021-05-03 11:35:00+05:30,41.4,41.4,40.55,40.55,850,102000,40.1079611392,,0.12,False
29,2021-05-03 11:40:00+05:30,40.55,41.1,40.4,41.1,5950,101150,40.335005802496,,0.12,False
30,2021-05-03 11:45:00+05:30,41.1,41.9,41.1,41.9,850,96900,40.4,,0.12,False
31,2021-05-03 11:50:00+05:30,41.9,41.9,41.9,41.9,0,96900,40.4,,0.12,False
