,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-06 09:15:00+05:30,117.1,125.0,77.65,77.85,2271300,1654425,,,0.06,False
1,2021-04-06 09:20:00+05:30,76.9,87.0,71.4,86.2,2068650,1967850,,,0.06,False
2,2021-04-06 09:25:00+05:30,86.6,119.45,86.25,118.8,4098225,2094750,,125.0,0.06,True
3,2021-04-06 09:30:00+05:30,118.45,134.35,116.3,126.55,2282325,2096325,86.25,,0.06,True
4,2021-04-06 09:35:00+05:30,127.0,149.65,124.3,145.0,1815450,2084175,86.25,,0.06,False
5,2021-04-06 09:40:00+05:30,145.5,150.0,132.7,135.55,1233675,1951050,93.858,,0.12,False
6,2021-04-06 09:45:00+05:30,135.2,145.1,122.0,144.0,1080600,1918650,103.96356,,0.18,False
7,2021-04-06 09:50:00+05:30,143.3,145.0,135.9,136.0,574275,1874325,112.2501192,,0.18,False
8,2021-04-06 09:55:00+05:30,135.9,140.0,129.0,129.35,489225,1851225,119.045097744,,0.18,False
9,2021-04-06 10:00:00+05:30,129.0,136.25,117.7,125.35,941025,1837725,,150.0,0.18,True
10,2021-04-06 10:05:00+05:30,125.3,130.9,119.05,130.15,724875,1871475,,148.062,0.06,False
11,2021-04-06 10:10:00+05:30,129.95,137.5,126.85,128.6,617625,1912050,,146.24028,0.06,False
12,2021-04-06 10:15:00+05:30,128.75,128.75,104.45,111.55,1379625,1922850,,144.5278632,0.06,False
13,2021-04-06 10:20:00+05:30,111.8,117.15,102.15,113.75,870300,1879575,,139.718519616,0.12,False
14,2021-04-06 10:25:00+05:30,114.0,118.75,108.6,116.75,587850,1956300,,132.95618608512,0.18,False
15,2021-04-06 10:30:00+05:30,116.8,123.75,112.3,118.6,730800,1986150,,127.41107258979841,0.18,False
16,2021-04-06 10:35:00+05:30,118.9,125.55,118.6,121.75,531975,1993575,102.15,,0.18,True
17,2021-04-06 10:40:00+05:30,121.75,134.65,121.75,133.35,781350,2045475,103.554,,0.06,False
18,2021-04-06 10:45:00+05:30,133.5,134.3,125.35,130.5,493500,2023425,107.28552,,0.12,False
19,2021-04-06 10:50:00+05:30,130.1,131.75,126.0,128.5,415800,2025900,110.5692576,,0.12,False
20,2021-04-06 10:55:00+05:30,128.1,136.4,127.25,130.45,496875,1994175,113.458946688,,0.12,False
21,2021-04-06 11:00:00+05:30,130.0,140.0,129.7,135.25,588000,1997100,117.58833628416,,0.18,False
22,2021-04-06 11:05:00+05:30,135.35,136.8,124.25,135.35,522525,1961400,122.070669027328,,0.2,False
23,2021-04-06 11:10:00+05:30,135.5,152.0,135.4,144.95,1300350,1878450,124.25,,0.2,False
24,2021-04-06 11:15:00+05:30,145.4,158.85,144.95,155.15,929325,1872000,124.25,,0.2,False
25,2021-04-06 11:20:00+05:30,155.6,160.9,151.3,158.05,605475,1811550,131.17,,0.2,False
26,2021-04-06 11:25:00+05:30,158.35,164.0,146.35,147.65,606825,1765650,137.11599999999999,,0.2,False
27,2021-04-06 11:30:00+05:30,147.0,151.95,141.25,142.5,502125,1755975,,164.0,0.2,True
28,2021-04-06 11:35:00+05:30,142.65,147.55,133.7,144.8,479625,1738275,,164.0,0.06,False
29,2021-04-06 11:40:00+05:30,145.4,147.15,132.55,134.75,347250,1744500,,160.364,0.12,False
30,2021-04-06 11:45:00+05:30,134.75,139.55,125.25,127.55,530025,1745175,,155.35748,0.18,False
31,2021-04-06 11:50:00+05:30,127.9,130.0,119.05,126.75,547125,1726950,,149.335984,0.2,False
32,2021-04-06 11:55:00+05:30,127.45,136.95,127.0,130.0,450525,1763250,,143.2787872,0.2,False
33,2021-04-06 12:00:00+05:30,129.85,132.7,120.6,129.0,359475,1761450,,138.43302976,0.2,False
34,2021-04-06 12:05:00+05:30,128.4,131.0,124.25,127.7,282225,1793175,,136.95,0.2,False
35,2021-04-06 12:10:00+05:30,127.85,132.7,123.75,130.1,285150,1806375,,133.37,0.2,False
36,2021-04-06 12:15:00+05:30,130.65,138.2,125.7,126.35,499125,1811925,119.05,,0.2,True
37,2021-04-06 12:20:00+05:30,126.65,129.0,121.0,123.95,364725,1843050,120.199,,0.06,False
38,2021-04-06 12:25:00+05:30,124.0,124.1,115.45,121.15,665025,1862700,,138.2,0.06,True
39,2021-04-06 12:30:00+05:30,121.15,124.7,107.4,107.85,751200,1920600,,136.83499999999998,0.06,False
40,2021-04-06 12:35:00+05:30,108.1,108.95,94.75,102.35,1337625,1981800,,133.3028,0.12,False
